長,接頭詞,名詞接続,*,*,長,*,*
妻議員,名詞,複合,*,*,妻議員,*,*
中野,名詞,固有名詞,地域,一般,中野,*,*
を,助詞,格助詞,一般,*,を,*,*
変え,動詞,自立,*,*,変える,一段,連用形
たい,助動詞,*,*,*,たい,特殊・タイ,基本形
と,助詞,格助詞,引用,*,と,*,*
思い,動詞,自立,*,*,思う,五段・ワ行促音便,連用形
酒井さん,名詞,複合,*,*,酒井さん,*,*
が,助詞,格助詞,一般,*,が,*,*
立ち上がっ,動詞,自立,*,*,立ち上がる,五段・ラ行,連用タ接続
た,助動詞,*,*,*,た,特殊・タ,基本形
職場,名詞,一般,*,*,職場,*,*
を,助詞,格助詞,一般,*,を,*,*
やめ,動詞,自立,*,*,やめる,一段,連用形
て,助詞,接続助詞,*,*,て,*,*
現職,名詞,一般,*,*,現職,*,*
と,助詞,格助詞,一般,*,と,*,*
戦う,動詞,自立,*,*,戦う,五段・ワ行促音便,基本形
なんて,助詞,副助詞,*,*,なんて,*,*
こと,名詞,非自立,一般,*,こと,*,*
は,助詞,係助詞,*,*,は,*,*
リスク,名詞,一般,*,*,リスク,*,*
が,助詞,格助詞,一般,*,が,*,*
高い,形容詞,自立,*,*,高い,形容詞・アウオ段,基本形
から,助詞,接続助詞,*,*,から,*,*
普通,名詞,形容動詞語幹,*,*,普通,*,*
は,助詞,係助詞,*,*,は,*,*
やら,動詞,自立,*,*,やる,五段・ラ行,未然形
ない,助動詞,*,*,*,ない,特殊・ナイ,基本形
愛する,動詞,自立,*,*,愛する,サ変・−スル,基本形
中野,名詞,固有名詞,地域,一般,中野,*,*
を,助詞,格助詞,一般,*,を,*,*
見過ごす,動詞,自立,*,*,見過ごす,五段・サ行,基本形
わけ,名詞,非自立,一般,*,わけ,*,*
に,助詞,格助詞,一般,*,に,*,*
は,助詞,係助詞,*,*,は,*,*
いけ,動詞,非自立,*,*,いける,一段,未然形
ない,助動詞,*,*,*,ない,特殊・ナイ,基本形
という,助詞,格助詞,連語,*,という,*,*
使命感,名詞,複合,*,*,使命感,*,*
から,助詞,格助詞,一般,*,から,*,*
区長選,名詞,複合,*,*,区長選,*,*
に,助詞,格助詞,一般,*,に,*,*
立候補,名詞,サ変接続,*,*,立候補,*,*
し,動詞,自立,*,*,する,サ変・スル,連用形
た,助動詞,*,*,*,た,特殊・タ,基本形
酒井さん,名詞,複合,*,*,酒井さん,*,*
7割以上投票,名詞,複合,*,*,7割以上投票,*,*
に,助詞,格助詞,一般,*,に,*,*
行か,動詞,自立,*,*,行く,五段・カ行促音便,未然形
ない,助動詞,*,*,*,ない,特殊・ナイ,基本形
と,助詞,接続助詞,*,*,と,*,*
なる,動詞,自立,*,*,なる,五段・ラ行,基本形
...,名詞,サ変接続,*,*,...,*,*
