続,接頭詞,名詞接続,*,*,続,*,*
今日,名詞,副詞可能,*,*,今日,*,*
の,助詞,連体化,*,*,の,*,*
枝野,名詞,固有名詞,地域,一般,枝野,*,*
!落合議員,名詞,複合,*,*,!落合議員,*,*
の,助詞,連体化,*,*,の,*,*
国政報告会,名詞,複合,*,*,国政報告会,*,*
にて,助詞,格助詞,一般,*,にて,*,*
講演,名詞,サ変接続,*,*,講演,*,*
を,助詞,格助詞,一般,*,を,*,*
し,動詞,自立,*,*,する,サ変・スル,連用形
まし,助動詞,*,*,*,ます,特殊・マス,連用形
た,助動詞,*,*,*,た,特殊・タ,基本形
今日3本目,名詞,複合,*,*,今日3本目,*,*
の,助詞,連体化,*,*,の,*,*
講演,名詞,サ変接続,*,*,講演,*,*
です,助動詞,*,*,*,です,特殊・デス,基本形
‍♂,名詞,サ変接続,*,*,‍♂,*,*
1日,名詞,複合,*,*,1日,*,*
で,助詞,格助詞,一般,*,で,*,*
1000人,名詞,複合,*,*,1000人,*,*
近い,形容詞,自立,*,*,近い,形容詞・アウオ段,基本形
方々,名詞,一般,*,*,方々,*,*
に,助詞,格助詞,一般,*,に,*,*
立憲民主党,名詞,複合,*,*,立憲民主党,*,*
が,助詞,格助詞,一般,*,が,*,*
何,名詞,代名詞,一般,*,何,*,*
を,助詞,格助詞,一般,*,を,*,*
目指し,動詞,自立,*,*,目指す,五段・サ行,連用形
て,助詞,接続助詞,*,*,て,*,*
いる,動詞,非自立,*,*,いる,一段,基本形
かお,名詞,一般,*,*,かお,*,*
聞き,動詞,自立,*,*,聞く,五段・カ行イ音便,連用形
いただく,動詞,非自立,*,*,いただく,五段・カ行イ音便,基本形
こと,名詞,非自立,一般,*,こと,*,*
が,助詞,格助詞,一般,*,が,*,*
でき,動詞,自立,*,*,できる,一段,連用形
まし,助動詞,*,*,*,ます,特殊・マス,連用形
た,助動詞,*,*,*,た,特殊・タ,基本形
足元,名詞,一般,*,*,足元,*,*
も,助詞,係助詞,*,*,も,*,*
悪い,形容詞,自立,*,*,悪い,形容詞・アウオ段,基本形
中,名詞,非自立,副詞可能,*,中,*,*
本当に,副詞,一般,*,*,本当に,*,*
ありがとう,感動詞,*,*,*,ありがとう,*,*
ござい,助動詞,*,*,*,ござる,五段・ラ行特殊,連用形
まし,助動詞,*,*,*,ます,特殊・マス,連用形
た,助動詞,*,*,*,た,特殊・タ,基本形
