大阪,名詞,固有名詞,地域,一般,大阪,*,*
を,助詞,格助詞,一般,*,を,*,*
中心,名詞,一般,*,*,中心,*,*
と,助詞,格助詞,一般,*,と,*,*
し,動詞,自立,*,*,する,サ変・スル,連用形
た,助動詞,*,*,*,た,特殊・タ,基本形
地域,名詞,一般,*,*,地域,*,*
で,助詞,格助詞,一般,*,で,*,*
発生,名詞,サ変接続,*,*,発生,*,*
し,動詞,自立,*,*,する,サ変・スル,連用形
た,助動詞,*,*,*,た,特殊・タ,基本形
地震,名詞,一般,*,*,地震,*,*
で,助詞,格助詞,一般,*,で,*,*
亡くなら,動詞,自立,*,*,亡くなる,五段・ラ行,未然形
れ,動詞,接尾,*,*,れる,一段,連用形
た,助動詞,*,*,*,た,特殊・タ,基本形
方,名詞,非自立,一般,*,方,*,*
被害,名詞,一般,*,*,被害,*,*
に,助詞,格助詞,一般,*,に,*,*
合わ,動詞,自立,*,*,合う,五段・ワ行促音便,未然形
れ,動詞,接尾,*,*,れる,一段,連用形
た,助動詞,*,*,*,た,特殊・タ,基本形
方,名詞,非自立,一般,*,方,*,*
に,助詞,格助詞,一般,*,に,*,*
心から,副詞,助詞類接続,*,*,心から,*,*
お悔やみ,名詞,一般,*,*,お悔やみ,*,*
と,助詞,並立助詞,*,*,と,*,*
お,接頭詞,名詞接続,*,*,お,*,*
見舞い,名詞,サ変接続,*,*,見舞い,*,*
申し上げ,動詞,自立,*,*,申し上げる,一段,連用形
ます,助動詞,*,*,*,ます,特殊・マス,基本形
不安,名詞,形容動詞語幹,*,*,不安,*,*
な,助動詞,*,*,*,だ,特殊・ダ,体言接続
夜,名詞,副詞可能,*,*,夜,*,*
を,助詞,格助詞,一般,*,を,*,*
迎え,動詞,自立,*,*,迎える,一段,連用形
て,助詞,接続助詞,*,*,て,*,*
いる,動詞,非自立,*,*,いる,一段,基本形
方,名詞,非自立,一般,*,方,*,*
も,助詞,係助詞,*,*,も,*,*
いる,動詞,自立,*,*,いる,一段,基本形
かも,助詞,副助詞,*,*,かも,*,*
しれ,動詞,自立,*,*,しれる,一段,連用形
ませ,助動詞,*,*,*,ます,特殊・マス,未然形
ん,助動詞,*,*,*,ん,不変化型,基本形
この,連体詞,*,*,*,この,*,*
記事,名詞,一般,*,*,記事,*,*
が,助詞,格助詞,一般,*,が,*,*
参考,名詞,サ変接続,*,*,参考,*,*
に,助詞,格助詞,一般,*,に,*,*
なる,動詞,自立,*,*,なる,五段・ラ行,基本形
かも,助詞,副助詞,*,*,かも,*,*
しれ,動詞,自立,*,*,しれる,一段,連用形
ませ,助動詞,*,*,*,ます,特殊・マス,未然形
ん,助動詞,*,*,*,ん,不変化型,基本形
余震,名詞,一般,*,*,余震,*,*
に,助詞,格助詞,一般,*,に,*,*
気,名詞,一般,*,*,気,*,*
を,助詞,格助詞,一般,*,を,*,*
付け,動詞,自立,*,*,付ける,一段,連用形
つつ,助詞,接続助詞,*,*,つつ,*,*
落ち着い,動詞,自立,*,*,落ち着く,五段・カ行イ音便,連用タ接続
て,助詞,接続助詞,*,*,て,*,*
過ごし,動詞,自立,*,*,過ごす,五段・サ行,連用形
て,助詞,接続助詞,*,*,て,*,*
く,動詞,非自立,*,*,く,五段・カ行促音便,基本形
...,名詞,サ変接続,*,*,...,*,*
