働き,動詞,自立,*,*,働く,五段・カ行イ音便,連用形
方,名詞,接尾,特殊,*,方,*,*
29,名詞,数,*,*,29,*,*
日,名詞,接尾,助数詞,*,日,*,*
に,助詞,格助詞,一般,*,に,*,*
も,助詞,係助詞,*,*,も,*,*
成立,名詞,サ変接続,*,*,成立,*,*
=,名詞,サ変接続,*,*,=,*,*
解任,名詞,サ変接続,*,*,解任,*,*
決議,名詞,サ変接続,*,*,決議,*,*
案,名詞,接尾,一般,*,案,*,*
は,助詞,係助詞,*,*,は,*,*
採決,名詞,サ変接続,*,*,採決,*,*
さ,動詞,自立,*,*,する,サ変・スル,未然レル接続
れ,動詞,接尾,*,*,れる,一段,未然形
ず,助動詞,*,*,*,ぬ,特殊・ヌ,連用ニ接続
(,名詞,サ変接続,*,*,(,*,*
時事通信,名詞,固有名詞,組織,*,時事通信,*,*
),名詞,サ変接続,*,*,),*,*
-,名詞,サ変接続,*,*,-,*,*
yahoo,名詞,固有名詞,組織,*,yahoo,*,*
!,名詞,サ変接続,*,*,!,*,*
ニュース,名詞,一般,*,*,ニュース,*,*
