参院,名詞,固有名詞,組織,*,参院,*,*
本,接頭詞,名詞接続,*,*,本,*,*
会議,名詞,サ変接続,*,*,会議,*,*
高,接頭詞,名詞接続,*,*,高,*,*
プロ,名詞,一般,*,*,プロ,*,*
の,助詞,連体化,*,*,の,*,*
立法事実ねつ造,名詞,複合,*,*,立法事実ねつ造,*,*
が,助詞,格助詞,一般,*,が,*,*
あれ,動詞,自立,*,*,ある,五段・ラ行,仮定形
ば,助詞,接続助詞,*,*,ば,*,*
撤回どころ,名詞,複合,*,*,撤回どころ,*,*
で,助動詞,*,*,*,だ,特殊・ダ,連用形
は,助詞,係助詞,*,*,は,*,*
なく,助動詞,*,*,*,ない,特殊・ナイ,連用テ接続
いま,名詞,副詞可能,*,*,いま,*,*
すぐ,副詞,助詞類接続,*,*,すぐ,*,*
国民,名詞,一般,*,*,国民,*,*
に,助詞,格助詞,一般,*,に,*,*
謝罪,名詞,サ変接続,*,*,謝罪,*,*
内閣,名詞,一般,*,*,内閣,*,*
総,接頭詞,名詞接続,*,*,総,*,*
辞職,名詞,サ変接続,*,*,辞職,*,*
す,動詞,自立,*,*,する,サ変・スル,文語基本形
べき,助動詞,*,*,*,べし,文語・ベシ,体言接続
大,接頭詞,名詞接続,*,*,大,*,*
問題,名詞,ナイ形容詞語幹,*,*,問題,*,*
石橋議員,名詞,複合,*,*,石橋議員,*,*
立憲ニュース,名詞,複合,*,*,立憲ニュース,*,*
