倉敷,名詞,固有名詞,地域,一般,倉敷,*,*
で,助詞,格助詞,一般,*,で,*,*
1000,名詞,数,*,*,1000,*,*
人,名詞,接尾,助数詞,*,人,*,*
以上,名詞,非自立,副詞可能,*,以上,*,*
孤立,名詞,サ変接続,*,*,孤立,*,*
か,助詞,副助詞／並立助詞／終助詞,*,*,か,*,*
被害,名詞,一般,*,*,被害,*,*
の,助詞,連体化,*,*,の,*,*
全容,名詞,一般,*,*,全容,*,*
いまだ,副詞,助詞類接続,*,*,いまだ,*,*
つかめ,動詞,自立,*,*,つかめる,一段,未然形
ず,助動詞,*,*,*,ぬ,特殊・ヌ,連用ニ接続
(,名詞,サ変接続,*,*,(,*,*
テレビ朝日,名詞,固有名詞,組織,*,テレビ朝日,*,*
系,名詞,接尾,一般,*,系,*,*
(,名詞,サ変接続,*,*,(,*,*
ann,名詞,一般,*,*,ann,*,*
)),名詞,サ変接続,*,*,)),*,*
-,名詞,サ変接続,*,*,-,*,*
yahoo,名詞,固有名詞,組織,*,yahoo,*,*
!,名詞,サ変接続,*,*,!,*,*
ニュース,名詞,一般,*,*,ニュース,*,*
