心から,副詞,助詞類接続,*,*,心から,*,*
ご,接頭詞,名詞接続,*,*,ご,*,*
冥福,名詞,一般,*,*,冥福,*,*
を,助詞,格助詞,一般,*,を,*,*
お祈り,名詞,サ変接続,*,*,お祈り,*,*
いたし,動詞,非自立,*,*,いたす,五段・サ行,連用形
ます,助動詞,*,*,*,ます,特殊・マス,基本形
広島,名詞,固有名詞,地域,一般,広島,*,*
福山,名詞,固有名詞,地域,一般,福山,*,*
で,助詞,格助詞,一般,*,で,*,*
3,名詞,数,*,*,3,*,*
歳,名詞,接尾,助数詞,*,歳,*,*
女児,名詞,一般,*,*,女児,*,*
遺体,名詞,一般,*,*,遺体,*,*
豪雨,名詞,一般,*,*,豪雨,*,*
死者,名詞,一般,*,*,死者,*,*
68,名詞,数,*,*,68,*,*
人,名詞,接尾,助数詞,*,人,*,*
|,名詞,サ変接続,*,*,|,*,*
2018,名詞,数,*,*,2018,*,*
/,名詞,サ変接続,*,*,/,*,*
7,名詞,数,*,*,7,*,*
/,名詞,サ変接続,*,*,/,*,*
8,名詞,数,*,*,8,*,*
-,名詞,サ変接続,*,*,-,*,*
共同通信,名詞,固有名詞,組織,*,共同通信,*,*
