西日本,名詞,固有名詞,地域,一般,西日本,*,*
豪雨,名詞,一般,*,*,豪雨,*,*
で,助詞,格助詞,一般,*,で,*,*
未,接頭詞,名詞接続,*,*,未,*,*
復旧,名詞,サ変接続,*,*,復旧,*,*
の,助詞,連体化,*,*,の,*,*
鉄道,名詞,一般,*,*,鉄道,*,*
2,名詞,数,*,*,2,*,*
割,名詞,接尾,助数詞,*,割,*,*
再開,名詞,サ変接続,*,*,再開,*,*
に,助詞,格助詞,一般,*,に,*,*
数カ月,名詞,一般,*,*,数カ月,*,*
~,名詞,サ変接続,*,*,~,*,*
1,名詞,数,*,*,1,*,*
年,名詞,接尾,助数詞,*,年,*,*
以上,名詞,非自立,副詞可能,*,以上,*,*
も,助詞,係助詞,*,*,も,*,*
|,名詞,サ変接続,*,*,|,*,*
2018,名詞,数,*,*,2018,*,*
/,名詞,サ変接続,*,*,/,*,*
7,名詞,数,*,*,7,*,*
/,名詞,サ変接続,*,*,/,*,*
19,名詞,数,*,*,19,*,*
-,名詞,サ変接続,*,*,-,*,*
共同通信,名詞,固有名詞,組織,*,共同通信,*,*
