佐川,名詞,固有名詞,組織,*,佐川,*,*
氏,名詞,接尾,人名,*,氏,*,*
の,助詞,連体化,*,*,の,*,*
証言,名詞,サ変接続,*,*,証言,*,*
は,助詞,係助詞,*,*,は,*,*
首相,名詞,一般,*,*,首相,*,*
や,助詞,並立助詞,*,*,や,*,*
財務,名詞,一般,*,*,財務,*,*
大臣,名詞,一般,*,*,大臣,*,*
が,助詞,格助詞,一般,*,が,*,*
監督,名詞,サ変接続,*,*,監督,*,*
責任,名詞,一般,*,*,責任,*,*
を,助詞,格助詞,一般,*,を,*,*
果たさ,動詞,自立,*,*,果たす,五段・サ行,未然形
なかっ,助動詞,*,*,*,ない,特殊・ナイ,連用タ接続
た,助動詞,*,*,*,た,特殊・タ,基本形
こと,名詞,非自立,一般,*,こと,*,*
を,助詞,格助詞,一般,*,を,*,*
強く,形容詞,自立,*,*,強い,形容詞・アウオ段,連用テ接続
裏付け,動詞,自立,*,*,裏付ける,一段,連用形
た,助動詞,*,*,*,た,特殊・タ,基本形
〔...〕,名詞,サ変接続,*,*,〔...〕,*,*
責任,名詞,一般,*,*,責任,*,*
ある,動詞,自立,*,*,ある,五段・ラ行,基本形
政治,名詞,一般,*,*,政治,*,*
の,助詞,連体化,*,*,の,*,*
ため,名詞,非自立,副詞可能,*,ため,*,*
に,助詞,格助詞,一般,*,に,*,*
は,助詞,係助詞,*,*,は,*,*
首相,名詞,一般,*,*,首相,*,*
や,助詞,並立助詞,*,*,や,*,*
各,接頭詞,名詞接続,*,*,各,*,*
大臣,名詞,一般,*,*,大臣,*,*
が,助詞,格助詞,一般,*,が,*,*
適切,名詞,形容動詞語幹,*,*,適切,*,*
に,助詞,副詞化,*,*,に,*,*
監督,名詞,サ変接続,*,*,監督,*,*
権限,名詞,一般,*,*,権限,*,*
を,助詞,格助詞,一般,*,を,*,*
行使,名詞,サ変接続,*,*,行使,*,*
する,動詞,自立,*,*,する,サ変・スル,基本形
よう,名詞,非自立,助動詞語幹,*,よう,*,*
に,助詞,副詞化,*,*,に,*,*
制度,名詞,一般,*,*,制度,*,*
設計,名詞,サ変接続,*,*,設計,*,*
し,動詞,自立,*,*,する,サ変・スル,未然形
なけれ,助動詞,*,*,*,ない,特殊・ナイ,仮定形
ば,助詞,接続助詞,*,*,ば,*,*
なら,動詞,非自立,*,*,なる,五段・ラ行,未然形
ない,助動詞,*,*,*,ない,特殊・ナイ,基本形
今回,名詞,副詞可能,*,*,今回,*,*
の,助詞,連体化,*,*,の,*,*
無責任,名詞,形容動詞語幹,*,*,無責任,*,*
は,助詞,係助詞,*,*,は,*,*
減給,名詞,サ変接続,*,*,減給,*,*
など,助詞,副助詞,*,*,など,*,*
で,助詞,格助詞,一般,*,で,*,*
は,助詞,係助詞,*,*,は,*,*
済まない,形容詞,自立,*,*,済まない,形容詞・アウオ段,基本形
重大,名詞,形容動詞語幹,*,*,重大,*,*
な,助動詞,*,*,*,だ,特殊・ダ,体言接続
責,名詞,一般,*,*,責,*,*
...,名詞,サ変接続,*,*,...,*,*
