加計,名詞,固有名詞,人名,姓,加計,*,*
問題,名詞,ナイ形容詞語幹,*,*,問題,*,*
首相,名詞,一般,*,*,首相,*,*
案件,名詞,一般,*,*,案件,*,*
の,助詞,連体化,*,*,の,*,*
記録,名詞,サ変接続,*,*,記録,*,*
ホント,名詞,一般,*,*,ホント,*,*
に,助詞,格助詞,一般,*,に,*,*
あり,動詞,自立,*,*,ある,五段・ラ行,連用形
得,動詞,非自立,*,*,得る,一段,未然形
ない,助動詞,*,*,*,ない,特殊・ナイ,基本形
?,名詞,サ変接続,*,*,?,*,*
時,名詞,一般,*,*,時,*,*
系列,名詞,一般,*,*,系列,*,*
で,助詞,格助詞,一般,*,で,*,*
見,動詞,自立,*,*,見る,一段,連用形
て,助詞,接続助詞,*,*,て,*,*
みる,動詞,非自立,*,*,みる,一段,基本形
と,助詞,格助詞,引用,*,と,*,*
...。,名詞,サ変接続,*,*,...。,*,*
_,名詞,サ変接続,*,*,_,*,*
po,名詞,一般,*,*,po,*,*
_,名詞,サ変接続,*,*,_,*,*
rou,名詞,固有名詞,組織,*,rou,*,*
