続い,動詞,自立,*,*,続く,五段・カ行イ音便,連用タ接続
て,助詞,接続助詞,*,*,て,*,*
枝野,名詞,固有名詞,地域,一般,枝野,*,*
代表,名詞,サ変接続,*,*,代表,*,*
は,助詞,係助詞,*,*,は,*,*
明治大学,名詞,固有名詞,組織,*,明治大学,*,*
雄弁,名詞,一般,*,*,雄弁,*,*
部,名詞,接尾,一般,*,部,*,*
の,助詞,連体化,*,*,の,*,*
新入生,名詞,一般,*,*,新入生,*,*
歓迎,名詞,サ変接続,*,*,歓迎,*,*
講演,名詞,サ変接続,*,*,講演,*,*
会,名詞,接尾,一般,*,会,*,*
で,助詞,格助詞,一般,*,で,*,*
講演,名詞,サ変接続,*,*,講演,*,*
です,助動詞,*,*,*,です,特殊・デス,基本形
今日,名詞,副詞可能,*,*,今日,*,*
は,助詞,係助詞,*,*,は,*,*
朝,名詞,副詞可能,*,*,朝,*,*
から,助詞,格助詞,一般,*,から,*,*
喋り,動詞,自立,*,*,喋る,五段・ラ行,連用形
っぱなし,名詞,接尾,一般,*,っぱなし,*,*
今日,名詞,副詞可能,*,*,今日,*,*
の,助詞,連体化,*,*,の,*,*
枝野,名詞,固有名詞,地域,一般,枝野,*,*
