参議院,名詞,固有名詞,組織,*,参議院,*,*
委員会,名詞,複合,*,*,委員会,*,*
国会2018,名詞,複合,*,*,国会2018,*,*
4月16日(月)参議院委員会,名詞,複合,*,*,4月16日(月)参議院委員会,*,*
の,助詞,連体化,*,*,の,*,*
予定,名詞,サ変接続,*,*,予定,*,*
です,助動詞,*,*,*,です,特殊・デス,基本形
⚖決算委員会,名詞,複合,*,*,⚖決算委員会,*,*
:,名詞,サ変接続,*,*,:,*,*
川田龍平,名詞,複合,*,*,川田龍平,*,*
18:05,名詞,複合,*,*,18:05,*,*
18:15ネット中継,名詞,複合,*,*,18:15ネット中継,*,*
感想,名詞,一般,*,*,感想,*,*
や,助詞,並立助詞,*,*,や,*,*
意見,名詞,サ変接続,*,*,意見,*,*
は,助詞,係助詞,*,*,は,*,*
国会2018,名詞,複合,*,*,国会2018,*,*
まで,助詞,副助詞,*,*,まで,*,*
よろしく,副詞,一般,*,*,よろしく,*,*
お願い,名詞,サ変接続,*,*,お願い,*,*
し,動詞,自立,*,*,する,サ変・スル,連用形
ます,助動詞,*,*,*,ます,特殊・マス,基本形
!,名詞,サ変接続,*,*,!,*,*
