福山,名詞,固有名詞,人名,姓,福山,*,*
幹事,名詞,一般,*,*,幹事,*,*
長,名詞,接尾,一般,*,長,*,*
立法府,名詞,一般,*,*,立法府,*,*
と,助詞,並立助詞,*,*,と,*,*
行政府,名詞,一般,*,*,行政府,*,*
の,助詞,連体化,*,*,の,*,*
関係,名詞,サ変接続,*,*,関係,*,*
が,助詞,格助詞,一般,*,が,*,*
混乱,名詞,サ変接続,*,*,混乱,*,*
し,動詞,自立,*,*,する,サ変・スル,連用形
て,助詞,接続助詞,*,*,て,*,*
いる,動詞,非自立,*,*,いる,一段,基本形
さらに,副詞,助詞類接続,*,*,さらに,*,*
国民,名詞,一般,*,*,国民,*,*
の,助詞,連体化,*,*,の,*,*
政治,名詞,一般,*,*,政治,*,*
不信,名詞,一般,*,*,不信,*,*
は,助詞,係助詞,*,*,は,*,*
高まっ,動詞,自立,*,*,高まる,五段・ラ行,連用タ接続
て,助詞,接続助詞,*,*,て,*,*
いる,動詞,非自立,*,*,いる,一段,基本形
財務省,名詞,固有名詞,組織,*,財務省,*,*
は,助詞,係助詞,*,*,は,*,*
国税庁,名詞,固有名詞,組織,*,国税庁,*,*
長官,名詞,一般,*,*,長官,*,*
と,助詞,並立助詞,*,*,と,*,*
事務次官,名詞,一般,*,*,事務次官,*,*
が,助詞,格助詞,一般,*,が,*,*
不在,名詞,一般,*,*,不在,*,*
という,助詞,格助詞,連語,*,という,*,*
異常,名詞,形容動詞語幹,*,*,異常,*,*
な,助動詞,*,*,*,だ,特殊・ダ,体言接続
状況,名詞,一般,*,*,状況,*,*
大臣,名詞,一般,*,*,大臣,*,*
の,助詞,連体化,*,*,の,*,*
責任,名詞,一般,*,*,責任,*,*
は,助詞,係助詞,*,*,は,*,*
大変,名詞,形容動詞語幹,*,*,大変,*,*
大きな,連体詞,*,*,*,大きな,*,*
もの,名詞,非自立,一般,*,もの,*,*
で,助動詞,*,*,*,だ,特殊・ダ,連用形
あり,助動詞,*,*,*,ある,五段・ラ行アル,連用形
現状,名詞,一般,*,*,現状,*,*
の,助詞,連体化,*,*,の,*,*
異常,名詞,形容動詞語幹,*,*,異常,*,*
事態,名詞,一般,*,*,事態,*,*
を,助詞,格助詞,一般,*,を,*,*
与党,名詞,一般,*,*,与党,*,*
も,助詞,係助詞,*,*,も,*,*
しっかり,副詞,助詞類接続,*,*,しっかり,*,*
と,助詞,副詞化,*,*,と,*,*
ご,接頭詞,名詞接続,*,*,ご,*,*
認識,名詞,サ変接続,*,*,認識,*,*
いただき,動詞,自立,*,*,いただく,五段・カ行イ音便,連用形
誠意,名詞,一般,*,*,誠意,*,*
ある,動詞,自立,*,*,ある,五段・ラ行,基本形
回答,名詞,サ変接続,*,*,回答,*,*
...,名詞,サ変接続,*,*,...,*,*
