山花,名詞,固有名詞,人名,姓,山花,*,*
議員,名詞,一般,*,*,議員,*,*
も,助詞,係助詞,*,*,も,*,*
取材,名詞,サ変接続,*,*,取材,*,*
さ,動詞,自立,*,*,する,サ変・スル,未然レル接続
れ,動詞,接尾,*,*,れる,一段,連用形
て,助詞,接続助詞,*,*,て,*,*
い,動詞,非自立,*,*,いる,一段,連用形
ます,助動詞,*,*,*,ます,特殊・マス,基本形
!,名詞,サ変接続,*,*,!,*,*
国会,名詞,一般,*,*,国会,*,*
議員,名詞,一般,*,*,議員,*,*
は,助詞,係助詞,*,*,は,*,*
大型,名詞,一般,*,*,大型,*,*
連休,名詞,一般,*,*,連休,*,*
を,助詞,格助詞,一般,*,を,*,*
どう,副詞,助詞類接続,*,*,どう,*,*
過ごす,動詞,自立,*,*,過ごす,五段・サ行,基本形
?,名詞,サ変接続,*,*,?,*,*
野党,名詞,一般,*,*,野党,*,*
編,名詞,接尾,一般,*,編,*,*
|,名詞,サ変接続,*,*,|,*,*
特集,名詞,サ変接続,*,*,特集,*,*
記事,名詞,一般,*,*,記事,*,*
|,名詞,サ変接続,*,*,|,*,*
nhk,名詞,固有名詞,組織,*,nhk,*,*
政治,名詞,一般,*,*,政治,*,*
マガジン,名詞,一般,*,*,マガジン,*,*
