衆参,名詞,固有名詞,組織,*,衆参,*,*
予算委員会,名詞,複合,*,*,予算委員会,*,*
国会2018,名詞,複合,*,*,国会2018,*,*
5月10日(木),名詞,複合,*,*,5月10日(木),*,*
の,助詞,連体化,*,*,の,*,*
予算委員会,名詞,複合,*,*,予算委員会,*,*
は,助詞,係助詞,*,*,は,*,*
参考人柳瀬唯夫氏,名詞,複合,*,*,参考人柳瀬唯夫氏,*,*
に対する,助詞,格助詞,連語,*,に対する,*,*
質疑,名詞,サ変接続,*,*,質疑,*,*
です,助動詞,*,*,*,です,特殊・デス,基本形
nhk,名詞,一般,*,*,nhk,*,*
で,助詞,格助詞,一般,*,で,*,*
中継予定,名詞,複合,*,*,中継予定,*,*
です,助動詞,*,*,*,です,特殊・デス,基本形
ぜひ,副詞,一般,*,*,ぜひ,*,*
ご覧,名詞,動詞非自立的,*,*,ご覧,*,*
ください,動詞,自立,*,*,くださる,五段・ラ行特殊,命令ｉ
衆議院:長妻昭,名詞,複合,*,*,衆議院:長妻昭,*,*
9:45-10:12,名詞,複合,*,*,9:45-10:12,*,*
参議院:蓮舫,名詞,複合,*,*,参議院:蓮舫,*,*
13:50-14:08...,名詞,複合,*,*,13:50-14:08...,*,*
