岡山,名詞,固有名詞,地域,一般,岡山,*,*
は,助詞,係助詞,*,*,は,*,*
雨,名詞,一般,*,*,雨,*,*
の,助詞,連体化,*,*,の,*,*
中500人,名詞,複合,*,*,中500人,*,*
近い,形容詞,自立,*,*,近い,形容詞・アウオ段,基本形
方,名詞,非自立,一般,*,方,*,*
に,助詞,格助詞,一般,*,に,*,*
お,接頭詞,名詞接続,*,*,お,*,*
集まり,名詞,一般,*,*,集まり,*,*
いただき,動詞,自立,*,*,いただく,五段・カ行イ音便,連用形
まし,助動詞,*,*,*,ます,特殊・マス,連用形
た,助動詞,*,*,*,た,特殊・タ,基本形
ありがとう,感動詞,*,*,*,ありがとう,*,*
ござい,助動詞,*,*,*,ござる,五段・ラ行特殊,連用形
まし,助動詞,*,*,*,ます,特殊・マス,連用形
た,助動詞,*,*,*,た,特殊・タ,基本形
(,名詞,サ変接続,*,*,(,*,*
いい,形容詞,自立,*,*,いい,形容詞・イイ,基本形
写真,名詞,一般,*,*,写真,*,*
が,助詞,格助詞,一般,*,が,*,*
とれ,動詞,自立,*,*,とれる,一段,連用形
ませ,助動詞,*,*,*,ます,特殊・マス,未然形
ん,助動詞,*,*,*,ん,不変化型,基本形
でし,助動詞,*,*,*,です,特殊・デス,連用形
た,助動詞,*,*,*,た,特殊・タ,基本形
...,名詞,サ変接続,*,*,...,*,*
),名詞,サ変接続,*,*,),*,*
