辻,名詞,固有名詞,人名,姓,辻,*,*
元,接頭詞,名詞接続,*,*,元,*,*
議員,名詞,一般,*,*,議員,*,*
働き,動詞,自立,*,*,働く,五段・カ行イ音便,連用形
方国会,名詞,複合,*,*,方国会,*,*
と,助詞,格助詞,引用,*,と,*,*
言う,動詞,自立,*,*,言う,五段・ワ行促音便,基本形
の,名詞,非自立,一般,*,の,*,*
で,助動詞,*,*,*,だ,特殊・ダ,連用形
あれ,助動詞,*,*,*,ある,五段・ラ行アル,仮定形
ば,助詞,接続助詞,*,*,ば,*,*
信頼性,名詞,複合,*,*,信頼性,*,*
に,助詞,格助詞,一般,*,に,*,*
足る,動詞,自立,*,*,足る,五段・ラ行,基本形
誰,名詞,代名詞,一般,*,誰,*,*
が,助詞,格助詞,一般,*,が,*,*
見,動詞,自立,*,*,見る,一段,連用形
て,助詞,接続助詞,*,*,て,*,*
も,助詞,係助詞,*,*,も,*,*
おかしく,形容詞,自立,*,*,おかしい,形容詞・イ段,連用テ接続
ない,助動詞,*,*,*,ない,特殊・ナイ,基本形
データ,名詞,一般,*,*,データ,*,*
を,助詞,格助詞,一般,*,を,*,*
もと,名詞,一般,*,*,もと,*,*
に,助詞,格助詞,一般,*,に,*,*
法案,名詞,一般,*,*,法案,*,*
を,助詞,格助詞,一般,*,を,*,*
出し,動詞,自立,*,*,出す,五段・サ行,連用形
て,助詞,接続助詞,*,*,て,*,*
審議,名詞,サ変接続,*,*,審議,*,*
す,動詞,自立,*,*,する,サ変・スル,文語基本形
べき,助動詞,*,*,*,べし,文語・ベシ,体言接続
だ,助動詞,*,*,*,だ,特殊・ダ,基本形
野党,名詞,一般,*,*,野党,*,*
働き,動詞,自立,*,*,働く,五段・カ行イ音便,連用形
方改革関連法案,名詞,複合,*,*,方改革関連法案,*,*
は,助詞,係助詞,*,*,は,*,*
労政審,名詞,複合,*,*,労政審,*,*
に,助詞,格助詞,一般,*,に,*,*
差し戻し,名詞,一般,*,*,差し戻し,*,*
を,助詞,格助詞,一般,*,を,*,*
|,名詞,サ変接続,*,*,|,*,*
nhkニュース,名詞,複合,*,*,nhkニュース,*,*
