西村,名詞,固有名詞,人名,姓,西村,*,*
議員,名詞,一般,*,*,議員,*,*
これ,名詞,代名詞,一般,*,これ,*,*
は,助詞,係助詞,*,*,は,*,*
やはり,副詞,一般,*,*,やはり,*,*
データ,名詞,一般,*,*,データ,*,*
を,助詞,格助詞,一般,*,を,*,*
精査,名詞,サ変接続,*,*,精査,*,*
し,動詞,自立,*,*,する,サ変・スル,連用形
直し,動詞,非自立,*,*,直す,五段・サ行,連用形
て,助詞,接続助詞,*,*,て,*,*
法案,名詞,一般,*,*,法案,*,*
そのもの,名詞,一般,*,*,そのもの,*,*
を,助詞,格助詞,一般,*,を,*,*
作成,名詞,サ変接続,*,*,作成,*,*
し,動詞,自立,*,*,する,サ変・スル,連用形
直さ,動詞,非自立,*,*,直す,五段・サ行,未然形
なけれ,助動詞,*,*,*,ない,特殊・ナイ,仮定形
ば,助詞,接続助詞,*,*,ば,*,*
いけ,動詞,非自立,*,*,いける,一段,未然形
ない,助動詞,*,*,*,ない,特殊・ナイ,基本形
問題,名詞,ナイ形容詞語幹,*,*,問題,*,*
だ,助動詞,*,*,*,だ,特殊・ダ,基本形
と,助詞,格助詞,引用,*,と,*,*
思い,動詞,自立,*,*,思う,五段・ワ行促音便,連用形
ます,助動詞,*,*,*,ます,特殊・マス,基本形
