吉川,名詞,固有名詞,人名,姓,吉川,*,*
元,接頭詞,名詞接続,*,*,元,*,*
(,名詞,サ変接続,*,*,(,*,*
社民,名詞,固有名詞,組織,*,社民,*,*
)「,名詞,サ変接続,*,*,)「,*,*
行政府,名詞,一般,*,*,行政府,*,*
の,助詞,連体化,*,*,の,*,*
透明,名詞,形容動詞語幹,*,*,透明,*,*
性,名詞,接尾,一般,*,性,*,*
を,助詞,格助詞,一般,*,を,*,*
高める,動詞,自立,*,*,高める,一段,基本形
ため,名詞,非自立,副詞可能,*,ため,*,*
に,助詞,格助詞,一般,*,に,*,*
全力,名詞,一般,*,*,全力,*,*
を,助詞,格助詞,一般,*,を,*,*
尽くし,動詞,自立,*,*,尽くす,五段・サ行,連用形
たい,助動詞,*,*,*,たい,特殊・タイ,基本形
公開,名詞,サ変接続,*,*,公開,*,*
さ,動詞,自立,*,*,する,サ変・スル,未然レル接続
れ,動詞,接尾,*,*,れる,一段,連用形
た,助動詞,*,*,*,た,特殊・タ,基本形
文書,名詞,一般,*,*,文書,*,*
すべて,名詞,副詞可能,*,*,すべて,*,*
公開,名詞,サ変接続,*,*,公開,*,*
さ,動詞,自立,*,*,する,サ変・スル,未然レル接続
れ,動詞,接尾,*,*,れる,一段,連用形
た,助動詞,*,*,*,た,特殊・タ,基本形
か,助詞,副助詞／並立助詞／終助詞,*,*,か,*,*
疑問,名詞,形容動詞語幹,*,*,疑問,*,*
いったい,副詞,一般,*,*,いったい,*,*
どこ,名詞,代名詞,一般,*,どこ,*,*
まで,助詞,副助詞,*,*,まで,*,*
隠す,動詞,自立,*,*,隠す,五段・サ行,基本形
つもり,名詞,非自立,一般,*,つもり,*,*
な,助動詞,*,*,*,だ,特殊・ダ,体言接続
の,名詞,非自立,一般,*,の,*,*
か,助詞,副助詞／並立助詞／終助詞,*,*,か,*,*
高度,名詞,形容動詞語幹,*,*,高度,*,*
プロフェッショナル,名詞,一般,*,*,プロフェッショナル,*,*
制度,名詞,一般,*,*,制度,*,*
も,助詞,係助詞,*,*,も,*,*
強引,名詞,形容動詞語幹,*,*,強引,*,*
に,助詞,副詞化,*,*,に,*,*
採決,名詞,サ変接続,*,*,採決,*,*
しよ,動詞,自立,*,*,する,サ変・スル,未然ウ接続
う,助動詞,*,*,*,う,不変化型,基本形
と,助詞,格助詞,引用,*,と,*,*
し,動詞,自立,*,*,する,サ変・スル,連用形
て,助詞,接続助詞,*,*,て,*,*
いる,動詞,非自立,*,*,いる,一段,基本形
社民党,名詞,固有名詞,組織,*,社民党,*,*
は,助詞,係助詞,*,*,は,*,*
小さな,連体詞,*,*,*,小さな,*,*
政党,名詞,一般,*,*,政党,*,*
で,助詞,格助詞,一般,*,で,*,*
は,助詞,係助詞,*,*,は,*,*
ある,動詞,自立,*,*,ある,五段・ラ行,基本形
が,助詞,接続助詞,*,*,が,*,*
みなさん,名詞,代名詞,一般,*,みなさん,*,*
...,名詞,サ変接続,*,*,...,*,*
