生,接頭詞,名詞接続,*,*,生,*,*
中継,名詞,サ変接続,*,*,中継,*,*
です,助動詞,*,*,*,です,特殊・デス,基本形
が,助詞,接続助詞,*,*,が,*,*
思わ,動詞,自立,*,*,思う,五段・ワ行促音便,未然形
ぬ,助動詞,*,*,*,ぬ,特殊・ヌ,基本形
回線,名詞,一般,*,*,回線,*,*
の,助詞,連体化,*,*,の,*,*
不具合,名詞,形容動詞語幹,*,*,不具合,*,*
で,助動詞,*,*,*,だ,特殊・ダ,連用形
うまく,形容詞,自立,*,*,うまい,形容詞・アウオ段,連用テ接続
行か,動詞,自立,*,*,行く,五段・カ行促音便,未然形
ず,助動詞,*,*,*,ぬ,特殊・ヌ,連用ニ接続
すみません,感動詞,*,*,*,すみません,*,*
でし,助動詞,*,*,*,です,特殊・デス,連用形
た,助動詞,*,*,*,た,特殊・タ,基本形
次回,名詞,副詞可能,*,*,次回,*,*
こそ,助詞,係助詞,*,*,こそ,*,*
は,助詞,係助詞,*,*,は,*,*
頑張り,動詞,自立,*,*,頑張る,五段・ラ行,連用形
ます,助動詞,*,*,*,ます,特殊・マス,基本形
(毎回,名詞,複合,*,*,(毎回,*,*
言っ,動詞,自立,*,*,言う,五段・ワ行促音便,連用タ接続
て,助詞,接続助詞,*,*,て,*,*
いる,動詞,非自立,*,*,いる,一段,基本形
気,名詞,非自立,一般,*,気,*,*
が,助詞,格助詞,一般,*,が,*,*
する,動詞,自立,*,*,する,サ変・スル,基本形
),名詞,サ変接続,*,*,),*,*
