安倍,名詞,固有名詞,人名,姓,安倍,*,*
政権,名詞,一般,*,*,政権,*,*
いいかげん,名詞,形容動詞語幹,*,*,いいかげん,*,*
に,助詞,格助詞,一般,*,に,*,*
しろ,動詞,自立,*,*,する,サ変・スル,命令ｒｏ
=,名詞,サ変接続,*,*,=,*,*
モリカケ,名詞,一般,*,*,モリカケ,*,*
追及,名詞,サ変接続,*,*,追及,*,*
街頭,名詞,一般,*,*,街頭,*,*
で,助詞,格助詞,一般,*,で,*,*
訴え,動詞,自立,*,*,訴える,一段,連用形
-,名詞,サ変接続,*,*,-,*,*
5,名詞,数,*,*,5,*,*
野党,名詞,一般,*,*,野党,*,*
:,名詞,サ変接続,*,*,:,*,*
時事,名詞,一般,*,*,時事,*,*
ドット,名詞,一般,*,*,ドット,*,*
コム,名詞,固有名詞,組織,*,コム,*,*
いい,形容詞,自立,*,*,いい,形容詞・イイ,基本形
加減,名詞,サ変接続,*,*,加減,*,*
に,助詞,格助詞,一般,*,に,*,*
しろ,動詞,自立,*,*,する,サ変・スル,命令ｒｏ
0524,名詞,数,*,*,0524,*,*
より,副詞,一般,*,*,より,*,*
