厚,名詞,固有名詞,地域,一般,厚,*,*
労,名詞,一般,*,*,労,*,*
委,名詞,接尾,一般,*,委,*,*
の,助詞,連体化,*,*,の,*,*
強硬,名詞,形容動詞語幹,*,*,強硬,*,*
採決,名詞,サ変接続,*,*,採決,*,*
を,助詞,格助詞,一般,*,を,*,*
許さ,動詞,自立,*,*,許す,五段・サ行,未然形
ない,助動詞,*,*,*,ない,特殊・ナイ,基本形
0524,名詞,数,*,*,0524,*,*
・,名詞,数,*,*,・,*,*
0525,名詞,数,*,*,0525,*,*
高,名詞,接尾,一般,*,高,*,*
プロ,名詞,一般,*,*,プロ,*,*
反対,名詞,サ変接続,*,*,反対,*,*
国会,名詞,一般,*,*,国会,*,*
前,接頭詞,名詞接続,*,*,前,*,*
連続,名詞,サ変接続,*,*,連続,*,*
抗議,名詞,サ変接続,*,*,抗議,*,*
行動,名詞,サ変接続,*,*,行動,*,*
で,接続詞,*,*,*,で,*,*
岡本,名詞,固有名詞,人名,姓,岡本,*,*
議員,名詞,一般,*,*,議員,*,*
が,助詞,格助詞,一般,*,が,*,*
スピーチ,名詞,サ変接続,*,*,スピーチ,*,*
立憲,名詞,一般,*,*,立憲,*,*
ニュース,名詞,一般,*,*,ニュース,*,*
