参院,名詞,固有名詞,組織,*,参院,*,*
予算委員会,名詞,複合,*,*,予算委員会,*,*
の,助詞,連体化,*,*,の,*,*
集中審議,名詞,複合,*,*,集中審議,*,*
で,接続詞,*,*,*,で,*,*
増子輝彦,名詞,複合,*,*,増子輝彦,*,*
議員,名詞,一般,*,*,議員,*,*
は,助詞,係助詞,*,*,は,*,*
森友学園,名詞,複合,*,*,森友学園,*,*
問題,名詞,ナイ形容詞語幹,*,*,問題,*,*
加計学園,名詞,複合,*,*,加計学園,*,*
問題,名詞,ナイ形容詞語幹,*,*,問題,*,*
を,助詞,格助詞,一般,*,を,*,*
取り上げ,動詞,自立,*,*,取り上げる,一段,連用形
安倍昭恵総理夫人,名詞,複合,*,*,安倍昭恵総理夫人,*,*
総理夫人付き職員,名詞,複合,*,*,総理夫人付き職員,*,*
で,助動詞,*,*,*,だ,特殊・ダ,連用形
あっ,助動詞,*,*,*,ある,五段・ラ行アル,連用タ接続
た,助動詞,*,*,*,た,特殊・タ,基本形
谷査恵子氏,名詞,複合,*,*,谷査恵子氏,*,*
の,助詞,連体化,*,*,の,*,*
証人喚問,名詞,複合,*,*,証人喚問,*,*
と,助詞,並立助詞,*,*,と,*,*
愛媛県,名詞,複合,*,*,愛媛県,*,*
の,助詞,連体化,*,*,の,*,*
中村時,名詞,複合,*,*,中村時,*,*
広,接頭詞,名詞接続,*,*,広,*,*
知事,名詞,一般,*,*,知事,*,*
の,助詞,連体化,*,*,の,*,*
参考人招致,名詞,複合,*,*,参考人招致,*,*
を,助詞,格助詞,一般,*,を,*,*
要求,名詞,サ変接続,*,*,要求,*,*
調査特別委員会,名詞,複合,*,*,調査特別委員会,*,*
の,助詞,連体化,*,*,の,*,*
...,名詞,サ変接続,*,*,...,*,*
