連合,名詞,固有名詞,組織,*,連合,*,*
が,接続詞,*,*,*,が,*,*
29日,名詞,複合,*,*,29日,*,*
都内,名詞,一般,*,*,都内,*,*
で,助詞,格助詞,一般,*,で,*,*
開い,動詞,自立,*,*,開く,五段・カ行イ音便,連用タ接続
た,助動詞,*,*,*,た,特殊・タ,基本形
働き,動詞,自立,*,*,働く,五段・カ行イ音便,連用形
方改革,名詞,複合,*,*,方改革,*,*
関連法案,名詞,複合,*,*,関連法案,*,*
の,助詞,連体化,*,*,の,*,*
委員会採決強行,名詞,複合,*,*,委員会採決強行,*,*
に,助詞,格助詞,一般,*,に,*,*
抗議,名詞,サ変接続,*,*,抗議,*,*
する,動詞,自立,*,*,する,サ変・スル,基本形
演説会,名詞,複合,*,*,演説会,*,*
に,助詞,格助詞,一般,*,に,*,*
玉木雄一郎,名詞,複合,*,*,玉木雄一郎,*,*
代表,名詞,サ変接続,*,*,代表,*,*
が,助詞,格助詞,一般,*,が,*,*
参加,名詞,サ変接続,*,*,参加,*,*
法案,名詞,一般,*,*,法案,*,*
に,助詞,格助詞,一般,*,に,*,*
含ま,動詞,自立,*,*,含む,五段・マ行,未然形
れる,動詞,接尾,*,*,れる,一段,基本形
高度プロフェッショナル制度,名詞,複合,*,*,高度プロフェッショナル制度,*,*
を,助詞,格助詞,一般,*,を,*,*
労働時間規制,名詞,複合,*,*,労働時間規制,*,*
が,助詞,格助詞,一般,*,が,*,*
なくなり,動詞,自立,*,*,なくなる,五段・ラ行,連用形
働かせ,動詞,自立,*,*,働かせる,一段,連用形
放題,名詞,接尾,一般,*,放題,*,*
労働時間,名詞,複合,*,*,労働時間,*,*
の,助詞,連体化,*,*,の,*,*
記録,名詞,サ変接続,*,*,記録,*,*
も,助詞,係助詞,*,*,も,*,*
必要,名詞,形容動詞語幹,*,*,必要,*,*
なくなり,動詞,自立,*,*,なくなる,五段・ラ行,連用形
過労...,名詞,複合,*,*,過労...,*,*
