森友,名詞,固有名詞,人名,姓,森友,*,*
加計,名詞,固有名詞,地域,一般,加計,*,*
学園問題,名詞,複合,*,*,学園問題,*,*
の,助詞,連体化,*,*,の,*,*
真相究明,名詞,複合,*,*,真相究明,*,*
の,助詞,連体化,*,*,の,*,*
ため,名詞,非自立,副詞可能,*,ため,*,*
に,助詞,格助詞,一般,*,に,*,*
特別委員会,名詞,複合,*,*,特別委員会,*,*
の,助詞,連体化,*,*,の,*,*
設置,名詞,サ変接続,*,*,設置,*,*
と,助詞,並立助詞,*,*,と,*,*
加計理事長,名詞,複合,*,*,加計理事長,*,*
の,助詞,連体化,*,*,の,*,*
証人喚問,名詞,複合,*,*,証人喚問,*,*
を,助詞,格助詞,一般,*,を,*,*
強く,形容詞,自立,*,*,強い,形容詞・アウオ段,連用テ接続
求め,動詞,自立,*,*,求める,一段,連用形
て,助詞,接続助詞,*,*,て,*,*
いく,動詞,非自立,*,*,いく,五段・カ行促音便,基本形
25日,名詞,複合,*,*,25日,*,*
の,助詞,連体化,*,*,の,*,*
参院予算委員会,名詞,複合,*,*,参院予算委員会,*,*
の,助詞,連体化,*,*,の,*,*
集中審議,名詞,複合,*,*,集中審議,*,*
で,助詞,格助詞,一般,*,で,*,*
安倍総理,名詞,複合,*,*,安倍総理,*,*
が,助詞,格助詞,一般,*,が,*,*
質問,名詞,サ変接続,*,*,質問,*,*
に,助詞,格助詞,一般,*,に,*,*
正面,名詞,一般,*,*,正面,*,*
から,助詞,格助詞,一般,*,から,*,*
答え,動詞,自立,*,*,答える,一段,未然形
なかっ,助動詞,*,*,*,ない,特殊・ナイ,連用タ接続
た,助動詞,*,*,*,た,特殊・タ,基本形
こと,名詞,非自立,一般,*,こと,*,*
から,助詞,格助詞,一般,*,から,*,*
玉木雄一郎,名詞,複合,*,*,玉木雄一郎,*,*
共同代表,名詞,複合,*,*,共同代表,*,*
は,助詞,係助詞,*,*,は,*,*
同日,名詞,副詞可能,*,*,同日,*,*
の,助詞,連体化,*,*,の,*,*
記者会見,名詞,複合,*,*,記者会見,*,*
で,助詞,格助詞,一般,*,で,*,*
あら...,名詞,複合,*,*,あら...,*,*
