財務省,名詞,固有名詞,組織,*,財務省,*,*
が,助詞,格助詞,一般,*,が,*,*
廃棄,名詞,サ変接続,*,*,廃棄,*,*
し,動詞,自立,*,*,する,サ変・スル,連用形
た,助動詞,*,*,*,た,特殊・タ,基本形
と,助詞,格助詞,引用,*,と,*,*
し,動詞,自立,*,*,する,サ変・スル,連用形
て,助詞,接続助詞,*,*,て,*,*
い,動詞,非自立,*,*,いる,一段,連用形
た,助動詞,*,*,*,た,特殊・タ,基本形
森友学園,名詞,複合,*,*,森友学園,*,*
と,助詞,格助詞,一般,*,と,*,*
の,助詞,連体化,*,*,の,*,*
交渉記録文書,名詞,複合,*,*,交渉記録文書,*,*
や,助詞,並立助詞,*,*,や,*,*
改ざん前,名詞,複合,*,*,改ざん前,*,*
の,助詞,連体化,*,*,の,*,*
決裁文書,名詞,複合,*,*,決裁文書,*,*
を,助詞,格助詞,一般,*,を,*,*
ようやく,副詞,一般,*,*,ようやく,*,*
国会,名詞,一般,*,*,国会,*,*
に,助詞,格助詞,一般,*,に,*,*
提出,名詞,サ変接続,*,*,提出,*,*
その,連体詞,*,*,*,その,*,*
驚く,動詞,自立,*,*,驚く,五段・カ行イ音便,基本形
べき,助動詞,*,*,*,べし,文語・ベシ,体言接続
内容,名詞,一般,*,*,内容,*,*
について,助詞,格助詞,連語,*,について,*,*
玉木雄一郎共同代表,名詞,複合,*,*,玉木雄一郎共同代表,*,*
が,助詞,格助詞,一般,*,が,*,*
解説,名詞,サ変接続,*,*,解説,*,*
し,動詞,自立,*,*,する,サ変・スル,連用形
行政監視院,名詞,複合,*,*,行政監視院,*,*
設置,名詞,サ変接続,*,*,設置,*,*
の,助詞,連体化,*,*,の,*,*
必要性,名詞,複合,*,*,必要性,*,*
を,助詞,格助詞,一般,*,を,*,*
説い,動詞,自立,*,*,説く,五段・カ行イ音便,連用タ接続
て,助詞,接続助詞,*,*,て,*,*
い,動詞,非自立,*,*,いる,一段,連用形
ます,助動詞,*,*,*,ます,特殊・マス,基本形
