自民党,名詞,固有名詞,組織,*,自民党,*,*
は,助詞,係助詞,*,*,は,*,*
データ,名詞,一般,*,*,データ,*,*
と,助詞,並立助詞,*,*,と,*,*
事実,名詞,副詞可能,*,*,事実,*,*
を,助詞,格助詞,一般,*,を,*,*
捨て,動詞,自立,*,*,捨てる,一段,連用形
近代国家,名詞,複合,*,*,近代国家,*,*
を,助詞,格助詞,一般,*,を,*,*
放棄,名詞,サ変接続,*,*,放棄,*,*
する,動詞,自立,*,*,する,サ変・スル,基本形
覚悟,名詞,サ変接続,*,*,覚悟,*,*
が,助詞,格助詞,一般,*,が,*,*
ある,動詞,自立,*,*,ある,五段・ラ行,基本形
か,助詞,副助詞／並立助詞／終助詞,*,*,か,*,*
ー,名詞,一般,*,*,ー,*,*
高度プロフェッショナル制度,名詞,複合,*,*,高度プロフェッショナル制度,*,*
の,助詞,連体化,*,*,の,*,*
委員会採決,名詞,複合,*,*,委員会採決,*,*
を,助詞,格助詞,一般,*,を,*,*
巡っ,動詞,自立,*,*,巡る,五段・ラ行,連用タ接続
て,助詞,接続助詞,*,*,て,*,*
_kokkai,名詞,複合,*,*,_kokkai,*,*
より,助詞,格助詞,一般,*,より,*,*
