新潟,名詞,固有名詞,地域,一般,新潟,*,*
知事,名詞,一般,*,*,知事,*,*
選,名詞,接尾,一般,*,選,*,*
6,名詞,数,*,*,6,*,*
党派,名詞,一般,*,*,党派,*,*
代表,名詞,サ変接続,*,*,代表,*,*
勢ぞろい,名詞,サ変接続,*,*,勢ぞろい,*,*
/,名詞,サ変接続,*,*,/,*,*
志位,名詞,固有名詞,人名,姓,志位,*,*
委員,名詞,一般,*,*,委員,*,*
長,名詞,接尾,一般,*,長,*,*
原発,名詞,一般,*,*,原発,*,*
再,接頭詞,名詞接続,*,*,再,*,*
稼働,名詞,サ変接続,*,*,稼働,*,*
は,助詞,係助詞,*,*,は,*,*
最大,名詞,一般,*,*,最大,*,*
争点,名詞,一般,*,*,争点,*,*
/,名詞,サ変接続,*,*,/,*,*
市民,名詞,一般,*,*,市民,*,*
と,助詞,並立助詞,*,*,と,*,*
野党,名詞,一般,*,*,野党,*,*
の,助詞,連体化,*,*,の,*,*
共闘,名詞,サ変接続,*,*,共闘,*,*
で,助詞,格助詞,一般,*,で,*,*
池田,名詞,固有名詞,人名,姓,池田,*,*
さん,名詞,接尾,人名,*,さん,*,*
を,助詞,格助詞,一般,*,を,*,*
新しい,形容詞,自立,*,*,新しい,形容詞・イ段,基本形
リーダー,名詞,一般,*,*,リーダー,*,*
に,助詞,格助詞,一般,*,に,*,*
