森友,名詞,固有名詞,人名,姓,森友,*,*
学園,名詞,一般,*,*,学園,*,*
へ,助詞,格助詞,一般,*,へ,*,*
の,助詞,連体化,*,*,の,*,*
国有,名詞,一般,*,*,国有,*,*
地,名詞,接尾,一般,*,地,*,*
売却,名詞,サ変接続,*,*,売却,*,*
を,助詞,格助詞,一般,*,を,*,*
めぐり,動詞,自立,*,*,めぐる,五段・ラ行,連用形
共産党,名詞,固有名詞,組織,*,共産党,*,*
は,助詞,係助詞,*,*,は,*,*
5,名詞,数,*,*,5,*,*
日,名詞,接尾,助数詞,*,日,*,*
取引,名詞,サ変接続,*,*,取引,*,*
の,助詞,連体化,*,*,の,*,*
経緯,名詞,一般,*,*,経緯,*,*
を,助詞,格助詞,一般,*,を,*,*
調べ,動詞,自立,*,*,調べる,一段,連用形
て,助詞,接続助詞,*,*,て,*,*
い,動詞,非自立,*,*,いる,一段,連用形
た,助動詞,*,*,*,た,特殊・タ,基本形
会計検査院,名詞,固有名詞,組織,*,会計検査院,*,*
や,助詞,並立助詞,*,*,や,*,*
国会,名詞,一般,*,*,国会,*,*
へ,助詞,格助詞,一般,*,へ,*,*
の,助詞,連体化,*,*,の,*,*
対応,名詞,サ変接続,*,*,対応,*,*
について,助詞,格助詞,連語,*,について,*,*
記さ,動詞,自立,*,*,記す,五段・サ行,未然形
れ,動詞,接尾,*,*,れる,一段,連用形
た,助動詞,*,*,*,た,特殊・タ,基本形
2,名詞,数,*,*,2,*,*
種類,名詞,一般,*,*,種類,*,*
の,助詞,連体化,*,*,の,*,*
文書,名詞,一般,*,*,文書,*,*
を,助詞,格助詞,一般,*,を,*,*
独自,名詞,形容動詞語幹,*,*,独自,*,*
に,助詞,副詞化,*,*,に,*,*
入手,名詞,サ変接続,*,*,入手,*,*
し,動詞,自立,*,*,する,サ変・スル,連用形
た,助動詞,*,*,*,た,特殊・タ,基本形
として,助詞,格助詞,連語,*,として,*,*
公表,名詞,サ変接続,*,*,公表,*,*
し,動詞,自立,*,*,する,サ変・スル,連用形
た,助動詞,*,*,*,た,特殊・タ,基本形
財務省,名詞,固有名詞,組織,*,財務省,*,*
政権,名詞,一般,*,*,政権,*,*
と,助詞,格助詞,一般,*,と,*,*
の,助詞,連体化,*,*,の,*,*
関係,名詞,サ変接続,*,*,関係,*,*
で,助詞,格助詞,一般,*,で,*,*
デメリット,名詞,一般,*,*,デメリット,*,*
共産党,名詞,固有名詞,組織,*,共産党,*,*
が,助詞,格助詞,一般,*,が,*,*
文書,名詞,一般,*,*,文書,*,*
公表,名詞,サ変接続,*,*,公表,*,*
(,名詞,サ変接続,*,*,(,*,*
朝日新聞,名詞,固有名詞,組織,*,朝日新聞,*,*
),名詞,サ変接続,*,*,),*,*
-...,名詞,サ変接続,*,*,-...,*,*
