厚,名詞,固有名詞,地域,一般,厚,*,*
労,名詞,一般,*,*,労,*,*
省,名詞,接尾,一般,*,省,*,*
は,助詞,係助詞,*,*,は,*,*
管理,名詞,サ変接続,*,*,管理,*,*
監督,名詞,サ変接続,*,*,監督,*,*
者,名詞,接尾,一般,*,者,*,*
を,助詞,格助詞,一般,*,を,*,*
一般,名詞,一般,*,*,一般,*,*
労働,名詞,サ変接続,*,*,労働,*,*
者,名詞,接尾,一般,*,者,*,*
に,助詞,格助詞,一般,*,に,*,*
含め,動詞,自立,*,*,含める,一段,連用形
て,助詞,接続助詞,*,*,て,*,*
いる,動詞,非自立,*,*,いる,一段,基本形
こと,名詞,非自立,一般,*,こと,*,*
を,助詞,格助詞,一般,*,を,*,*
隠し,動詞,自立,*,*,隠す,五段・サ行,連用形
た,助動詞,*,*,*,た,特殊・タ,基本形
まま,名詞,非自立,副詞可能,*,まま,*,*
でし,助動詞,*,*,*,です,特殊・デス,連用形
た,助動詞,*,*,*,た,特殊・タ,基本形
働き,動詞,自立,*,*,働く,五段・カ行イ音便,連用形
方,名詞,接尾,特殊,*,方,*,*
法案,名詞,一般,*,*,法案,*,*
新た,名詞,形容動詞語幹,*,*,新た,*,*
な,助動詞,*,*,*,だ,特殊・ダ,体言接続
虚偽,名詞,一般,*,*,虚偽,*,*
データ,名詞,一般,*,*,データ,*,*
発覚,名詞,サ変接続,*,*,発覚,*,*
/,名詞,サ変接続,*,*,/,*,*
倉林,名詞,固有名詞,人名,姓,倉林,*,*
氏,名詞,接尾,人名,*,氏,*,*
告発,名詞,サ変接続,*,*,告発,*,*
管理,名詞,サ変接続,*,*,管理,*,*
職,名詞,接尾,一般,*,職,*,*
を,助詞,格助詞,一般,*,を,*,*
一般,名詞,一般,*,*,一般,*,*
扱い,名詞,サ変接続,*,*,扱い,*,*
