第,接頭詞,数接続,*,*,第,*,*
4,名詞,数,*,*,4,*,*
回,名詞,接尾,助数詞,*,回,*,*
中央,名詞,一般,*,*,中央,*,*
委員,名詞,一般,*,*,委員,*,*
会,名詞,接尾,一般,*,会,*,*
総会,名詞,一般,*,*,総会,*,*
の,助詞,連体化,*,*,の,*,*
志位,名詞,固有名詞,人名,姓,志位,*,*
和夫,名詞,固有名詞,人名,名,和夫,*,*
委員,名詞,一般,*,*,委員,*,*
長,名詞,接尾,一般,*,長,*,*
の,助詞,連体化,*,*,の,*,*
あいさつ,名詞,サ変接続,*,*,あいさつ,*,*
と,助詞,並立助詞,*,*,と,*,*
小池,名詞,固有名詞,人名,姓,小池,*,*
晃,名詞,固有名詞,人名,名,晃,*,*
書記,名詞,一般,*,*,書記,*,*
局長,名詞,一般,*,*,局長,*,*
の,助詞,連体化,*,*,の,*,*
報告,名詞,サ変接続,*,*,報告,*,*
の,助詞,連体化,*,*,の,*,*
録画,名詞,サ変接続,*,*,録画,*,*
を,助詞,格助詞,一般,*,を,*,*
公開,名詞,サ変接続,*,*,公開,*,*
し,動詞,自立,*,*,する,サ変・スル,連用形
まし,助動詞,*,*,*,ます,特殊・マス,連用形
た,助動詞,*,*,*,た,特殊・タ,基本形
日本,名詞,固有名詞,地域,国,日本,*,*
共産党,名詞,固有名詞,組織,*,共産党,*,*
