旧,接頭詞,名詞接続,*,*,旧,*,*
優生,名詞,一般,*,*,優生,*,*
保護,名詞,サ変接続,*,*,保護,*,*
法,名詞,接尾,一般,*,法,*,*
に,助詞,格助詞,一般,*,に,*,*
基づく,動詞,自立,*,*,基づく,五段・カ行イ音便,基本形
強制,名詞,サ変接続,*,*,強制,*,*
不妊,名詞,一般,*,*,不妊,*,*
手術,名詞,サ変接続,*,*,手術,*,*
を,助詞,格助詞,一般,*,を,*,*
巡る,動詞,自立,*,*,巡る,五段・ラ行,基本形
訴訟,名詞,サ変接続,*,*,訴訟,*,*
で,助詞,格助詞,一般,*,で,*,*
国,名詞,一般,*,*,国,*,*
側,名詞,接尾,一般,*,側,*,*
は,助詞,係助詞,*,*,は,*,*
13,名詞,数,*,*,13,*,*
日,名詞,接尾,助数詞,*,日,*,*
に,助詞,格助詞,一般,*,に,*,*
開か,動詞,自立,*,*,開く,五段・カ行イ音便,未然形
れ,動詞,接尾,*,*,れる,一段,連用形
た,助動詞,*,*,*,た,特殊・タ,基本形
仙台,名詞,固有名詞,地域,一般,仙台,*,*
地裁,名詞,一般,*,*,地裁,*,*
の,助詞,連体化,*,*,の,*,*
口頭,名詞,一般,*,*,口頭,*,*
弁論,名詞,サ変接続,*,*,弁論,*,*
で,助詞,格助詞,一般,*,で,*,*
救済,名詞,サ変接続,*,*,救済,*,*
制度,名詞,一般,*,*,制度,*,*
を,助詞,格助詞,一般,*,を,*,*
立法,名詞,一般,*,*,立法,*,*
する,動詞,自立,*,*,する,サ変・スル,基本形
義務,名詞,一般,*,*,義務,*,*
が,助詞,格助詞,一般,*,が,*,*
ある,動詞,自立,*,*,ある,五段・ラ行,基本形
と,助詞,格助詞,引用,*,と,*,*
まで,助詞,副助詞,*,*,まで,*,*
は,助詞,係助詞,*,*,は,*,*
言え,動詞,自立,*,*,言える,一段,未然形
ず,助動詞,*,*,*,ぬ,特殊・ヌ,連用ニ接続
違法,名詞,形容動詞語幹,*,*,違法,*,*
で,助動詞,*,*,*,だ,特殊・ダ,連用形
は,助詞,係助詞,*,*,は,*,*
ない,形容詞,自立,*,*,ない,形容詞・アウオ段,基本形
と,助詞,格助詞,引用,*,と,*,*
主張,名詞,サ変接続,*,*,主張,*,*
し,動詞,自立,*,*,する,サ変・スル,連用形
た,助動詞,*,*,*,た,特殊・タ,基本形
救済,名詞,サ変接続,*,*,救済,*,*
義務,名詞,一般,*,*,義務,*,*
ない,形容詞,自立,*,*,ない,形容詞・アウオ段,基本形
と,助詞,格助詞,引用,*,と,*,*
国,名詞,一般,*,*,国,*,*
が,助詞,格助詞,一般,*,が,*,*
主張,名詞,サ変接続,*,*,主張,*,*
|,名詞,サ変接続,*,*,|,*,*
2018,名詞,数,*,*,2018,*,*
/,名詞,サ変接続,*,*,/,*,*
6,名詞,数,*,*,6,*,*
/,名詞,サ変接続,*,*,/,*,*
13,名詞,数,*,*,13,*,*
-,名詞,サ変接続,*,*,-,*,*
共同通信,名詞,固有名詞,組織,*,共同通信,*,*
