わずか,副詞,助詞類接続,*,*,わずか,*,*
1,名詞,数,*,*,1,*,*
分間,名詞,接尾,助数詞,*,分間,*,*
の,助詞,連体化,*,*,の,*,*
強行,名詞,サ変接続,*,*,強行,*,*
劇,名詞,一般,*,*,劇,*,*
でし,助動詞,*,*,*,です,特殊・デス,連用形
た,助動詞,*,*,*,た,特殊・タ,基本形
カジノ,名詞,一般,*,*,カジノ,*,*
法案,名詞,一般,*,*,法案,*,*
強行,名詞,サ変接続,*,*,強行,*,*
採決,名詞,サ変接続,*,*,採決,*,*
/,名詞,サ変接続,*,*,/,*,*
衆院,名詞,固有名詞,組織,*,衆院,*,*
委,名詞,接尾,一般,*,委,*,*
で,助詞,格助詞,一般,*,で,*,*
自公,名詞,一般,*,*,自公,*,*
維,名詞,一般,*,*,維,*,*
野党,名詞,一般,*,*,野党,*,*
は,助詞,係助詞,*,*,は,*,*
一致,名詞,サ変接続,*,*,一致,*,*
し,動詞,自立,*,*,する,サ変・スル,連用形
て,助詞,接続助詞,*,*,て,*,*
抗議,名詞,サ変接続,*,*,抗議,*,*
/,名詞,サ変接続,*,*,/,*,*
担当,名詞,サ変接続,*,*,担当,*,*
相,名詞,接尾,一般,*,相,*,*
不信任,名詞,一般,*,*,不信任,*,*
案,名詞,接尾,一般,*,案,*,*
は,助詞,係助詞,*,*,は,*,*
否決,名詞,サ変接続,*,*,否決,*,*
宮本,名詞,固有名詞,人名,姓,宮本,*,*
岳志,名詞,固有名詞,人名,名,岳志,*,*
議員,名詞,一般,*,*,議員,*,*
賛成,名詞,サ変接続,*,*,賛成,*,*
討論,名詞,サ変接続,*,*,討論,*,*
