吉村,名詞,固有名詞,人名,姓,吉村,*,*
市長,名詞,一般,*,*,市長,*,*
は,助詞,係助詞,*,*,は,*,*
ツイッター,名詞,一般,*,*,ツイッター,*,*
休校,名詞,サ変接続,*,*,休校,*,*
宣言,名詞,サ変接続,*,*,宣言,*,*
は,助詞,係助詞,*,*,は,*,*
マニュアル,名詞,一般,*,*,マニュアル,*,*
を,助詞,格助詞,一般,*,を,*,*
超え,動詞,自立,*,*,超える,一段,連用形
た,助動詞,*,*,*,た,特殊・タ,基本形
超,接頭詞,名詞接続,*,*,超,*,*
法規,名詞,一般,*,*,法規,*,*
的,名詞,接尾,形容動詞語幹,*,的,*,*
措置,名詞,サ変接続,*,*,措置,*,*
だっ,助動詞,*,*,*,だ,特殊・ダ,連用タ接続
た,助動詞,*,*,*,た,特殊・タ,基本形
と,助詞,格助詞,引用,*,と,*,*
主張,名詞,サ変接続,*,*,主張,*,*
教頭,名詞,一般,*,*,教頭,*,*
先生,名詞,一般,*,*,先生,*,*
そんな,連体詞,*,*,*,そんな,*,*
大事,名詞,形容動詞語幹,*,*,大事,*,*
な,助動詞,*,*,*,だ,特殊・ダ,体言接続
こと,名詞,非自立,一般,*,こと,*,*
を,助詞,格助詞,一般,*,を,*,*
ツイッター,名詞,一般,*,*,ツイッター,*,*
で,助詞,格助詞,一般,*,で,*,*
つぶやか,動詞,自立,*,*,つぶやく,五段・カ行イ音便,未然形
れ,動詞,接尾,*,*,れる,一段,連用形
て,助詞,接続助詞,*,*,て,*,*
も,助詞,係助詞,*,*,も,*,*
常に,副詞,一般,*,*,常に,*,*
フォロー,名詞,サ変接続,*,*,フォロー,*,*
し,動詞,自立,*,*,する,サ変・スル,連用形
て,助詞,接続助詞,*,*,て,*,*
いる,動詞,非自立,*,*,いる,一段,基本形
わけ,名詞,非自立,一般,*,わけ,*,*
で,助動詞,*,*,*,だ,特殊・ダ,連用形
は,助詞,係助詞,*,*,は,*,*
ない,形容詞,自立,*,*,ない,形容詞・アウオ段,基本形
<,名詞,サ変接続,*,*,<,*,*
大阪,名詞,固有名詞,地域,一般,大阪,*,*
震度,名詞,一般,*,*,震度,*,*
6,名詞,数,*,*,6,*,*
弱,接頭詞,名詞接続,*,*,弱,*,*
>,名詞,サ変接続,*,*,>,*,*
市長,名詞,一般,*,*,市長,*,*
ツイッター,名詞,一般,*,*,ツイッター,*,*
で,助詞,格助詞,一般,*,で,*,*
全校,名詞,一般,*,*,全校,*,*
休校,名詞,サ変接続,*,*,休校,*,*
現場,名詞,一般,*,*,現場,*,*
混乱,名詞,サ変接続,*,*,混乱,*,*
