日本,名詞,固有名詞,地域,国,日本,*,*
共産党,名詞,固有名詞,組織,*,共産党,*,*
は,助詞,係助詞,*,*,は,*,*
企業,名詞,一般,*,*,企業,*,*
から,助詞,格助詞,一般,*,から,*,*
の,助詞,連体化,*,*,の,*,*
献金,名詞,サ変接続,*,*,献金,*,*
を,助詞,格助詞,一般,*,を,*,*
受け取っ,動詞,自立,*,*,受け取る,五段・ラ行,連用タ接続
て,助詞,接続助詞,*,*,て,*,*
い,動詞,非自立,*,*,いる,一段,連用形
ませ,助動詞,*,*,*,ます,特殊・マス,未然形
ん,助動詞,*,*,*,ん,不変化型,基本形
その,連体詞,*,*,*,その,*,*
企業,名詞,一般,*,*,企業,*,*
に,助詞,格助詞,一般,*,に,*,*
便宜,名詞,一般,*,*,便宜,*,*
を,助詞,格助詞,一般,*,を,*,*
図ら,動詞,自立,*,*,図る,五段・ラ行,未然形
ざる,助動詞,*,*,*,ぬ,特殊・ヌ,体言接続
を,助詞,格助詞,一般,*,を,*,*
得,動詞,自立,*,*,得る,一段,未然形
なく,助動詞,*,*,*,ない,特殊・ナイ,連用テ接続
なる,動詞,自立,*,*,なる,五段・ラ行,基本形
から,助詞,接続助詞,*,*,から,*,*
です,助動詞,*,*,*,です,特殊・デス,基本形
これ,名詞,代名詞,一般,*,これ,*,*
は,助詞,係助詞,*,*,は,*,*
経団連,名詞,固有名詞,組織,*,経団連,*,*
の,助詞,連体化,*,*,の,*,*
ニーズ,名詞,一般,*,*,ニーズ,*,*
に,助詞,格助詞,一般,*,に,*,*
応え,動詞,自立,*,*,応える,一段,連用形
て,助詞,接続助詞,*,*,て,*,*
高,接頭詞,名詞接続,*,*,高,*,*
プロ,名詞,一般,*,*,プロ,*,*
を,助詞,格助詞,一般,*,を,*,*
通し,動詞,自立,*,*,通す,五段・サ行,連用形
た,助動詞,*,*,*,た,特殊・タ,基本形
自民党,名詞,固有名詞,組織,*,自民党,*,*
を,助詞,格助詞,一般,*,を,*,*
みれ,動詞,自立,*,*,みる,一段,仮定形
ば,助詞,接続助詞,*,*,ば,*,*
明らか,名詞,形容動詞語幹,*,*,明らか,*,*
な,助動詞,*,*,*,だ,特殊・ダ,体言接続
こと,名詞,非自立,一般,*,こと,*,*
です,助動詞,*,*,*,です,特殊・デス,基本形
これから,副詞,助詞類接続,*,*,これから,*,*
は,助詞,係助詞,*,*,は,*,*
しがらみ,名詞,一般,*,*,しがらみ,*,*
の,助詞,格助詞,一般,*,の,*,*
ない,形容詞,自立,*,*,ない,形容詞・アウオ段,基本形
個人,名詞,一般,*,*,個人,*,*
献金,名詞,サ変接続,*,*,献金,*,*
によって,助詞,格助詞,連語,*,によって,*,*
政治,名詞,一般,*,*,政治,*,*
...,名詞,サ変接続,*,*,...,*,*
