お,接頭詞,名詞接続,*,*,お,*,*
困り,動詞,自立,*,*,困る,五段・ラ行,連用形
ごと,名詞,接尾,一般,*,ごと,*,*
に,助詞,格助詞,一般,*,に,*,*
電話,名詞,サ変接続,*,*,電話,*,*
で,助詞,格助詞,一般,*,で,*,*
答える,動詞,自立,*,*,答える,一段,基本形
くらし,名詞,一般,*,*,くらし,*,*
の,助詞,連体化,*,*,の,*,*
相談,名詞,サ変接続,*,*,相談,*,*
室,名詞,接尾,一般,*,室,*,*
は,助詞,係助詞,*,*,は,*,*
40,名詞,数,*,*,40,*,*
年,名詞,接尾,助数詞,*,年,*,*
の,助詞,連体化,*,*,の,*,*
歴史,名詞,一般,*,*,歴史,*,*
を,助詞,格助詞,一般,*,を,*,*
もち,動詞,自立,*,*,もつ,五段・タ行,連用形
ます,助動詞,*,*,*,ます,特殊・マス,基本形
テーマ,名詞,一般,*,*,テーマ,*,*
は,助詞,係助詞,*,*,は,*,*
法律,名詞,一般,*,*,法律,*,*
税金,名詞,一般,*,*,税金,*,*
年金,名詞,一般,*,*,年金,*,*
社会,名詞,一般,*,*,社会,*,*
保険,名詞,一般,*,*,保険,*,*
子ども,名詞,一般,*,*,子ども,*,*
教育,名詞,サ変接続,*,*,教育,*,*
医療,名詞,一般,*,*,医療,*,*
福祉,名詞,一般,*,*,福祉,*,*
マンション,名詞,一般,*,*,マンション,*,*
住宅,名詞,一般,*,*,住宅,*,*
など,助詞,副助詞,*,*,など,*,*
多彩,名詞,形容動詞語幹,*,*,多彩,*,*
電話,名詞,サ変接続,*,*,電話,*,*
に,助詞,格助詞,一般,*,に,*,*
は,助詞,係助詞,*,*,は,*,*
専門,名詞,一般,*,*,専門,*,*
家,名詞,接尾,一般,*,家,*,*
が,助詞,格助詞,一般,*,が,*,*
答え,動詞,自立,*,*,答える,一段,連用形
相談,名詞,サ変接続,*,*,相談,*,*
事例,名詞,一般,*,*,事例,*,*
を,助詞,格助詞,一般,*,を,*,*
もと,名詞,一般,*,*,もと,*,*
に,助詞,格助詞,一般,*,に,*,*
q,名詞,一般,*,*,q,*,*
&,名詞,サ変接続,*,*,&,*,*
a,名詞,一般,*,*,a,*,*
形式,名詞,一般,*,*,形式,*,*
で,助詞,格助詞,一般,*,で,*,*
紹介,名詞,サ変接続,*,*,紹介,*,*
し,動詞,自立,*,*,する,サ変・スル,連用形
て,助詞,接続助詞,*,*,て,*,*
い,動詞,非自立,*,*,いる,一段,連用形
ます,助動詞,*,*,*,ます,特殊・マス,基本形
...,名詞,サ変接続,*,*,...,*,*
