肱川,名詞,固有名詞,人名,姓,肱川,*,*
が,助詞,格助詞,一般,*,が,*,*
氾濫,名詞,サ変接続,*,*,氾濫,*,*
し,動詞,自立,*,*,する,サ変・スル,連用形
て,助詞,接続助詞,*,*,て,*,*
甚大,名詞,形容動詞語幹,*,*,甚大,*,*
な,助動詞,*,*,*,だ,特殊・ダ,体言接続
被害,名詞,一般,*,*,被害,*,*
が,助詞,格助詞,一般,*,が,*,*
出,動詞,自立,*,*,出る,一段,連用形
た,助動詞,*,*,*,た,特殊・タ,基本形
愛媛県大洲市,名詞,複合,*,*,愛媛県大洲市,*,*
で,助詞,格助詞,一般,*,で,*,*
は,助詞,係助詞,*,*,は,*,*
し尿処理施設,名詞,複合,*,*,し尿処理施設,*,*
が,助詞,格助詞,一般,*,が,*,*
被災,名詞,サ変接続,*,*,被災,*,*
し,動詞,自立,*,*,する,サ変・スル,連用形
汚水処理,名詞,複合,*,*,汚水処理,*,*
が,助詞,格助詞,一般,*,が,*,*
1週間以上,名詞,複合,*,*,1週間以上,*,*
でき,動詞,自立,*,*,できる,一段,未然形
ない,助動詞,*,*,*,ない,特殊・ナイ,基本形
状態,名詞,一般,*,*,状態,*,*
が,助詞,格助詞,一般,*,が,*,*
続い,動詞,自立,*,*,続く,五段・カ行イ音便,連用タ接続
て,助詞,接続助詞,*,*,て,*,*
いる,動詞,非自立,*,*,いる,一段,基本形
家庭,名詞,一般,*,*,家庭,*,*
の,助詞,連体化,*,*,の,*,*
汚水槽,名詞,複合,*,*,汚水槽,*,*
の,助詞,連体化,*,*,の,*,*
容量,名詞,一般,*,*,容量,*,*
も,助詞,係助詞,*,*,も,*,*
限界,名詞,一般,*,*,限界,*,*
に,助詞,格助詞,一般,*,に,*,*
近づい,動詞,自立,*,*,近づく,五段・カ行イ音便,連用タ接続
て,助詞,接続助詞,*,*,て,*,*
おり,動詞,非自立,*,*,おる,五段・ラ行,連用形
被災者,名詞,複合,*,*,被災者,*,*
から,助詞,格助詞,一般,*,から,*,*
は,助詞,係助詞,*,*,は,*,*
排せつ,名詞,サ変接続,*,*,排せつ,*,*
の,助詞,連体化,*,*,の,*,*
こと,名詞,非自立,一般,*,こと,*,*
を,助詞,格助詞,一般,*,を,*,*
考え,動詞,自立,*,*,考える,一段,連用形
水,名詞,一般,*,*,水,*,*
や,助詞,並立助詞,*,*,や,*,*
食事,名詞,サ変接続,*,*,食事,*,*
も,助詞,係助詞,*,*,も,*,*
我慢,名詞,サ変接続,*,*,我慢,*,*
し,動詞,自立,*,*,する,サ変・スル,連用形
て,助詞,接続助詞,*,*,て,*,*
いる,動詞,非自立,*,*,いる,一段,基本形
と,助詞,格助詞,引用,*,と,*,*
深刻,名詞,形容動詞語幹,*,*,深刻,*,*
な,助動詞,*,*,*,だ,特殊・ダ,体言接続
声,名詞,一般,*,*,声,*,*
が,助詞,格助詞,一般,*,が,*,*
聞...,名詞,複合,*,*,聞...,*,*
