西日本,名詞,固有名詞,地域,一般,西日本,*,*
を,助詞,格助詞,一般,*,を,*,*
襲っ,動詞,自立,*,*,襲う,五段・ワ行促音便,連用タ接続
た,助動詞,*,*,*,た,特殊・タ,基本形
豪雨災害,名詞,複合,*,*,豪雨災害,*,*
について,助詞,格助詞,連語,*,について,*,*
安倍内閣,名詞,複合,*,*,安倍内閣,*,*
の,助詞,連体化,*,*,の,*,*
対応,名詞,サ変接続,*,*,対応,*,*
を,助詞,格助詞,一般,*,を,*,*
評価,名詞,サ変接続,*,*,評価,*,*
する,動詞,自立,*,*,する,サ変・スル,基本形
か,助詞,副助詞／並立助詞／終助詞,*,*,か,*,*
尋ね,動詞,自立,*,*,尋ねる,一段,連用形
た,助動詞,*,*,*,た,特殊・タ,基本形
ところ,名詞,非自立,副詞可能,*,ところ,*,*
評価,名詞,サ変接続,*,*,評価,*,*
する,動詞,自立,*,*,する,サ変・スル,基本形
は,助詞,係助詞,*,*,は,*,*
32%,名詞,複合,*,*,32%,*,*
で,助詞,格助詞,一般,*,で,*,*
評価,名詞,サ変接続,*,*,評価,*,*
し,動詞,自立,*,*,する,サ変・スル,未然形
ない,助動詞,*,*,*,ない,特殊・ナイ,基本形
の,助詞,連体化,*,*,の,*,*
45%,名詞,複合,*,*,45%,*,*
を,助詞,格助詞,一般,*,を,*,*
下回っ,動詞,自立,*,*,下回る,五段・ラ行,連用タ接続
た,助動詞,*,*,*,た,特殊・タ,基本形
安倍内閣,名詞,複合,*,*,安倍内閣,*,*
の,助詞,連体化,*,*,の,*,*
災害対応,名詞,複合,*,*,災害対応,*,*
評価,名詞,サ変接続,*,*,評価,*,*
し,動詞,自立,*,*,する,サ変・スル,未然形
ない,助動詞,*,*,*,ない,特殊・ナイ,基本形
45%,名詞,複合,*,*,45%,*,*
朝日世論調査:朝日新聞デジタル,名詞,複合,*,*,朝日世論調査:朝日新聞デジタル,*,*
