志位,名詞,固有名詞,人名,姓,志位,*,*
委員,名詞,一般,*,*,委員,*,*
長,名詞,接尾,一般,*,長,*,*
日本,名詞,固有名詞,地域,国,日本,*,*
の,助詞,連体化,*,*,の,*,*
政治,名詞,一般,*,*,政治,*,*
で,助詞,格助詞,一般,*,で,*,*
うそ,名詞,一般,*,*,うそ,*,*
が,助詞,格助詞,一般,*,が,*,*
まかり通っ,動詞,自立,*,*,まかり通る,五段・ラ行,連用タ接続
て,助詞,接続助詞,*,*,て,*,*
いる,動詞,非自立,*,*,いる,一段,基本形
異常,名詞,形容動詞語幹,*,*,異常,*,*
事態,名詞,一般,*,*,事態,*,*
を,助詞,格助詞,一般,*,を,*,*
打開,名詞,サ変接続,*,*,打開,*,*
し,動詞,自立,*,*,する,サ変・スル,連用形
民主,名詞,一般,*,*,民主,*,*
主義,名詞,一般,*,*,主義,*,*
が,助詞,格助詞,一般,*,が,*,*
あたり前,名詞,形容動詞語幹,*,*,あたり前,*,*
に,助詞,格助詞,一般,*,に,*,*
守ら,動詞,自立,*,*,守る,五段・ラ行,未然形
れる,動詞,接尾,*,*,れる,一段,基本形
政治,名詞,一般,*,*,政治,*,*
に,助詞,格助詞,一般,*,に,*,*
戻す,動詞,自立,*,*,戻す,五段・サ行,基本形
これ,名詞,代名詞,一般,*,これ,*,*
は,助詞,係助詞,*,*,は,*,*
国民,名詞,一般,*,*,国民,*,*
の,助詞,連体化,*,*,の,*,*
圧倒的,名詞,形容動詞語幹,*,*,圧倒的,*,*
な,助動詞,*,*,*,だ,特殊・ダ,体言接続
声,名詞,一般,*,*,声,*,*
で,助詞,格助詞,一般,*,で,*,*
は,助詞,係助詞,*,*,は,*,*
ない,助動詞,*,*,*,ない,特殊・ナイ,基本形
か,助詞,副助詞／並立助詞／終助詞,*,*,か,*,*
4,名詞,数,*,*,4,*,*
月,名詞,一般,*,*,月,*,*
14,名詞,数,*,*,14,*,*
日,名詞,接尾,助数詞,*,日,*,*
に,助詞,格助詞,一般,*,に,*,*
は,助詞,係助詞,*,*,は,*,*
国会,名詞,一般,*,*,国会,*,*
前,名詞,副詞可能,*,*,前,*,*
に,助詞,格助詞,一般,*,に,*,*
5,名詞,数,*,*,5,*,*
万,名詞,数,*,*,万,*,*
人,名詞,接尾,助数詞,*,人,*,*
が,助詞,格助詞,一般,*,が,*,*
集う,動詞,自立,*,*,集う,五段・ワ行促音便,基本形
大,接頭詞,名詞接続,*,*,大,*,*
行動,名詞,サ変接続,*,*,行動,*,*
が,助詞,格助詞,一般,*,が,*,*
取り組ま,動詞,自立,*,*,取り組む,五段・マ行,未然形
れ,動詞,接尾,*,*,れる,一段,連用形
た,助動詞,*,*,*,た,特殊・タ,基本形
が,助詞,接続助詞,*,*,が,*,*
もっと,副詞,一般,*,*,もっと,*,*
もっと,副詞,一般,*,*,もっと,*,*
世論,名詞,一般,*,*,世論,*,*
と,助詞,格助詞,一般,*,と,*,*
運動,名詞,サ変接続,*,*,運動,*,*
を,助詞,格助詞,一般,*,を,*,*
広げる,動詞,自立,*,*,広げる,一段,基本形
事,名詞,非自立,一般,*,事,*,*
が,助詞,格助詞,一般,*,が,*,*
...,名詞,サ変接続,*,*,...,*,*
