共産党,名詞,固有名詞,組織,*,共産党,*,*
の,助詞,連体化,*,*,の,*,*
志位和夫委員長,名詞,複合,*,*,志位和夫委員長,*,*
は,助詞,係助詞,*,*,は,*,*
原発問題中心,名詞,複合,*,*,原発問題中心,*,*
に,助詞,格助詞,一般,*,に,*,*
市民,名詞,一般,*,*,市民,*,*
と,助詞,並立助詞,*,*,と,*,*
野党,名詞,一般,*,*,野党,*,*
の,助詞,連体化,*,*,の,*,*
共闘,名詞,サ変接続,*,*,共闘,*,*
の,助詞,連体化,*,*,の,*,*
流れ,名詞,一般,*,*,流れ,*,*
を,助詞,格助詞,一般,*,を,*,*
大事,名詞,形容動詞語幹,*,*,大事,*,*
に,助詞,格助詞,一般,*,に,*,*
し,動詞,自立,*,*,する,サ変・スル,連用形
たい,助動詞,*,*,*,たい,特殊・タイ,基本形
と,助詞,格助詞,引用,*,と,*,*
強調,名詞,サ変接続,*,*,強調,*,*
立憲,名詞,一般,*,*,立憲,*,*
も,助詞,係助詞,*,*,も,*,*
市民,名詞,一般,*,*,市民,*,*
を,助詞,格助詞,一般,*,を,*,*
巻き込み,動詞,自立,*,*,巻き込む,五段・マ行,連用形
野党全体,名詞,複合,*,*,野党全体,*,*
で,助詞,格助詞,一般,*,で,*,*
戦う,動詞,自立,*,*,戦う,五段・ワ行促音便,基本形
構図,名詞,一般,*,*,構図,*,*
が,助詞,格助詞,一般,*,が,*,*
できれ,動詞,自立,*,*,できる,一段,仮定形
ば,助詞,接続助詞,*,*,ば,*,*
いい,形容詞,非自立,*,*,いい,形容詞・イイ,基本形
(福山哲郎幹事長),名詞,複合,*,*,(福山哲郎幹事長),*,*
と,助詞,格助詞,一般,*,と,*,*
の,助詞,連体化,*,*,の,*,*
立場,名詞,一般,*,*,立場,*,*
だ,助動詞,*,*,*,だ,特殊・ダ,基本形
与野党,名詞,一般,*,*,与野党,*,*
候補者選定急ピッチ=政権審判,名詞,複合,*,*,候補者選定急ピッチ=政権審判,*,*
の,助詞,連体化,*,*,の,*,*
色彩,名詞,一般,*,*,色彩,*,*
も,助詞,係助詞,*,*,も,*,*
-新潟...,名詞,複合,*,*,-新潟...,*,*
