毎日新聞,名詞,固有名詞,組織,*,毎日新聞,*,*
は,助詞,係助詞,*,*,は,*,*
21,名詞,数,*,*,21,*,*
22両日,名詞,複合,*,*,22両日,*,*
に,助詞,格助詞,一般,*,に,*,*
全国世論調査,名詞,複合,*,*,全国世論調査,*,*
を,助詞,格助詞,一般,*,を,*,*
実施,名詞,サ変接続,*,*,実施,*,*
し,動詞,自立,*,*,する,サ変・スル,連用形
安倍内閣,名詞,複合,*,*,安倍内閣,*,*
の,助詞,連体化,*,*,の,*,*
支持率,名詞,複合,*,*,支持率,*,*
は,助詞,係助詞,*,*,は,*,*
30%,名詞,複合,*,*,30%,*,*
で,助詞,格助詞,一般,*,で,*,*
3月,名詞,複合,*,*,3月,*,*
の,助詞,連体化,*,*,の,*,*
前回調査,名詞,複合,*,*,前回調査,*,*
から,助詞,格助詞,一般,*,から,*,*
3ポイント下落,名詞,複合,*,*,3ポイント下落,*,*
し,動詞,自立,*,*,する,サ変・スル,連用形
た,助動詞,*,*,*,た,特殊・タ,基本形
不,接頭詞,名詞接続,*,*,不,*,*
支持率,名詞,複合,*,*,支持率,*,*
は,助詞,係助詞,*,*,は,*,*
49%,名詞,複合,*,*,49%,*,*
で,助詞,格助詞,一般,*,で,*,*
同,接頭詞,名詞接続,*,*,同,*,*
2ポイント上昇,名詞,複合,*,*,2ポイント上昇,*,*
2カ月連続,名詞,複合,*,*,2カ月連続,*,*
で,助詞,格助詞,一般,*,で,*,*
不,接頭詞,名詞接続,*,*,不,*,*
支持,名詞,サ変接続,*,*,支持,*,*
が,助詞,格助詞,一般,*,が,*,*
支持,名詞,サ変接続,*,*,支持,*,*
を,助詞,格助詞,一般,*,を,*,*
上回っ,動詞,自立,*,*,上回る,五段・ラ行,連用タ接続
た,助動詞,*,*,*,た,特殊・タ,基本形
<毎日新聞世論調査>内閣支持率30%...,名詞,複合,*,*,<毎日新聞世論調査>内閣支持率30%...,*,*
