またもや,副詞,一般,*,*,またもや,*,*
強行採決,名詞,複合,*,*,強行採決,*,*
です,助動詞,*,*,*,です,特殊・デス,基本形
か,助詞,副助詞／並立助詞／終助詞,*,*,か,*,*
?,名詞,サ変接続,*,*,?,*,*
許せ,動詞,自立,*,*,許せる,一段,連用形
ませ,助動詞,*,*,*,ます,特殊・マス,未然形
ん,助動詞,*,*,*,ん,不変化型,基本形
高度プロフェッショナル制度,名詞,複合,*,*,高度プロフェッショナル制度,*,*
の,助詞,連体化,*,*,の,*,*
導入,名詞,サ変接続,*,*,導入,*,*
を,助詞,格助詞,一般,*,を,*,*
含む,動詞,自立,*,*,含む,五段・マ行,基本形
働き,動詞,自立,*,*,働く,五段・カ行イ音便,連用形
方改革一括法案,名詞,複合,*,*,方改革一括法案,*,*
の,助詞,連体化,*,*,の,*,*
衆議院厚労委員会,名詞,複合,*,*,衆議院厚労委員会,*,*
で,助詞,格助詞,一般,*,で,*,*
の,助詞,連体化,*,*,の,*,*
審議,名詞,サ変接続,*,*,審議,*,*
は,助詞,係助詞,*,*,は,*,*
5月9日(水)、11日(金)、16日(水),名詞,複合,*,*,5月9日(水)、11日(金)、16日(水),*,*
に,助詞,格助詞,一般,*,に,*,*
行わ,動詞,自立,*,*,行う,五段・ワ行促音便,未然形
れ,動詞,接尾,*,*,れる,一段,連用形
5月18日(金),名詞,複合,*,*,5月18日(金),*,*
か,助詞,副助詞／並立助詞／終助詞,*,*,か,*,*
23日(水),名詞,複合,*,*,23日(水),*,*
に,助詞,格助詞,一般,*,に,*,*
強行採決,名詞,複合,*,*,強行採決,*,*
さ,動詞,自立,*,*,する,サ変・スル,未然レル接続
れる,動詞,接尾,*,*,れる,一段,基本形
可能性...,名詞,複合,*,*,可能性...,*,*
