ない,形容詞,自立,*,*,ない,形容詞・アウオ段,基本形
が,助詞,格助詞,一般,*,が,*,*
堂々,副詞,助詞類接続,*,*,堂々,*,*
と,助詞,副詞化,*,*,と,*,*
ある,動詞,自立,*,*,ある,五段・ラ行,基本形
に,助詞,格助詞,一般,*,に,*,*
変わっ,動詞,自立,*,*,変わる,五段・ラ行,連用タ接続
た,助動詞,*,*,*,た,特殊・タ,基本形
なら,助動詞,*,*,*,だ,特殊・ダ,仮定形
ば,助詞,接続助詞,*,*,ば,*,*
そこ,名詞,代名詞,一般,*,そこ,*,*
に対して,助詞,格助詞,連語,*,に対して,*,*
また,副詞,助詞類接続,*,*,また,*,*
か,助詞,副助詞／並立助詞／終助詞,*,*,か,*,*
よ,助詞,終助詞,*,*,よ,*,*
と,助詞,格助詞,引用,*,と,*,*
思い,動詞,自立,*,*,思う,五段・ワ行促音便,連用形
ながら,助詞,接続助詞,*,*,ながら,*,*
も,助詞,係助詞,*,*,も,*,*
ふざける,動詞,自立,*,*,ふざける,一段,基本形
な,助詞,終助詞,*,*,な,*,*
と,助詞,格助詞,引用,*,と,*,*
ぶつけ,動詞,自立,*,*,ぶつける,一段,未然形
なけれ,助動詞,*,*,*,ない,特殊・ナイ,仮定形
ば,助詞,接続助詞,*,*,ば,*,*
なら,動詞,非自立,*,*,なる,五段・ラ行,未然形
ない,助動詞,*,*,*,ない,特殊・ナイ,基本形
それ,名詞,代名詞,一般,*,それ,*,*
を,助詞,格助詞,一般,*,を,*,*
怠る,動詞,自立,*,*,怠る,五段・ラ行,基本形
と,助詞,接続助詞,*,*,と,*,*
そんなに,副詞,一般,*,*,そんなに,*,*
大した,連体詞,*,*,*,大した,*,*
問題,名詞,ナイ形容詞語幹,*,*,問題,*,*
で,助詞,格助詞,一般,*,で,*,*
は,助詞,係助詞,*,*,は,*,*
ない,助動詞,*,*,*,ない,特殊・ナイ,基本形
だろ,助動詞,*,*,*,だ,特殊・ダ,未然形
が,助詞,格助詞,一般,*,が,*,*
たちまち,副詞,助詞類接続,*,*,たちまち,*,*
主導,名詞,サ変接続,*,*,主導,*,*
権,名詞,接尾,一般,*,権,*,*
を,助詞,格助詞,一般,*,を,*,*
握る,動詞,自立,*,*,握る,五段・ラ行,基本形
空気,名詞,一般,*,*,空気,*,*
を,助詞,格助詞,一般,*,を,*,*
操縦,名詞,サ変接続,*,*,操縦,*,*
する,動詞,自立,*,*,する,サ変・スル,基本形
政権,名詞,一般,*,*,政権,*,*
に,助詞,格助詞,一般,*,に,*,*
ふざける,動詞,自立,*,*,ふざける,一段,基本形
な,助詞,終助詞,*,*,な,*,*
...,名詞,サ変接続,*,*,...,*,*
