全く,副詞,助詞類接続,*,*,全く,*,*
反省,名詞,サ変接続,*,*,反省,*,*
が,助詞,格助詞,一般,*,が,*,*
み,動詞,自立,*,*,みる,一段,未然形
られ,動詞,接尾,*,*,られる,一段,未然形
ない,助動詞,*,*,*,ない,特殊・ナイ,基本形
人,名詞,一般,*,*,人,*,*
の,助詞,連体化,*,*,の,*,*
上,名詞,非自立,副詞可能,*,上,*,*
に,助詞,格助詞,一般,*,に,*,*
立つ,動詞,自立,*,*,立つ,五段・タ行,基本形
べき,助動詞,*,*,*,べし,文語・ベシ,体言接続
で,助動詞,*,*,*,だ,特殊・ダ,連用形
は,助詞,係助詞,*,*,は,*,*
ない,助動詞,*,*,*,ない,特殊・ナイ,基本形
でしょ,助動詞,*,*,*,です,特殊・デス,未然形
う,助動詞,*,*,*,う,不変化型,基本形
早急,名詞,形容動詞語幹,*,*,早急,*,*
に,助詞,副詞化,*,*,に,*,*
辞任,名詞,サ変接続,*,*,辞任,*,*
を,助詞,格助詞,一般,*,を,*,*
役所,名詞,一般,*,*,役所,*,*
に対して,助詞,格助詞,連語,*,に対して,*,*
の,助詞,連体化,*,*,の,*,*
迷惑,名詞,形容動詞語幹,*,*,迷惑,*,*
とか,助詞,並立助詞,*,*,とか,*,*
品位,名詞,一般,*,*,品位,*,*
を,助詞,格助詞,一般,*,を,*,*
傷つけ,動詞,自立,*,*,傷つける,一段,連用形
た,助動詞,*,*,*,た,特殊・タ,基本形
とか,助詞,並立助詞,*,*,とか,*,*
そういった,連体詞,*,*,*,そういった,*,*
意味,名詞,サ変接続,*,*,意味,*,*
で,助詞,格助詞,一般,*,で,*,*
処分,名詞,サ変接続,*,*,処分,*,*
を,助詞,格助詞,一般,*,を,*,*
さ,動詞,自立,*,*,する,サ変・スル,未然レル接続
せ,動詞,接尾,*,*,せる,一段,連用形
て,助詞,接続助詞,*,*,て,*,*
頂い,動詞,非自立,*,*,頂く,五段・カ行イ音便,連用タ接続
た,助動詞,*,*,*,た,特殊・タ,基本形
と,助詞,格助詞,引用,*,と,*,*
し,動詞,自立,*,*,する,サ変・スル,連用形
財務省,名詞,固有名詞,組織,*,財務省,*,*
として,助詞,格助詞,連語,*,として,*,*
セクハラ,名詞,一般,*,*,セクハラ,*,*
を,助詞,格助詞,一般,*,を,*,*
認定,名詞,サ変接続,*,*,認定,*,*
し,動詞,自立,*,*,する,サ変・スル,連用形
た,助動詞,*,*,*,た,特殊・タ,基本形
こと,名詞,非自立,一般,*,こと,*,*
は,助詞,係助詞,*,*,は,*,*
挙げ,動詞,自立,*,*,挙げる,一段,未然形
なかっ,助動詞,*,*,*,ない,特殊・ナイ,連用タ接続
た,助動詞,*,*,*,た,特殊・タ,基本形
麻生財務相...,名詞,複合,*,*,麻生財務相...,*,*
