なにか,副詞,助詞類接続,*,*,なにか,*,*
意地,名詞,一般,*,*,意地,*,*
に,助詞,格助詞,一般,*,に,*,*
なっ,動詞,自立,*,*,なる,五段・ラ行,連用タ接続
て,助詞,接続助詞,*,*,て,*,*
いる,動詞,非自立,*,*,いる,一段,基本形
の,名詞,非自立,一般,*,の,*,*
でしょ,助動詞,*,*,*,です,特殊・デス,未然形
う,助動詞,*,*,*,う,不変化型,基本形
か,助詞,副助詞／並立助詞／終助詞,*,*,か,*,*
?,名詞,サ変接続,*,*,?,*,*
小野寺,名詞,固有名詞,人名,姓,小野寺,*,*
防衛,名詞,サ変接続,*,*,防衛,*,*
相,名詞,接尾,一般,*,相,*,*
フィンランド,名詞,固有名詞,地域,国,フィンランド,*,*
国防省,名詞,固有名詞,組織,*,国防省,*,*
に,助詞,格助詞,一般,*,に,*,*
北朝鮮,名詞,固有名詞,地域,国,北朝鮮,*,*
へ,助詞,格助詞,一般,*,へ,*,*
の,助詞,連体化,*,*,の,*,*
圧力,名詞,一般,*,*,圧力,*,*
維持,名詞,サ変接続,*,*,維持,*,*
を,助詞,格助詞,一般,*,を,*,*
要請,名詞,サ変接続,*,*,要請,*,*
|,名詞,サ変接続,*,*,|,*,*
nhk,名詞,固有名詞,組織,*,nhk,*,*
ニュース,名詞,一般,*,*,ニュース,*,*
