安倍,名詞,固有名詞,人名,姓,安倍,*,*
首相,名詞,一般,*,*,首相,*,*
の,助詞,連体化,*,*,の,*,*
虚偽,名詞,一般,*,*,虚偽,*,*
答弁,名詞,サ変接続,*,*,答弁,*,*
裏づける,動詞,自立,*,*,裏づける,一段,基本形
愛媛,名詞,固有名詞,地域,一般,愛媛,*,*
県,名詞,接尾,地域,*,県,*,*
の,助詞,連体化,*,*,の,*,*
官邸,名詞,一般,*,*,官邸,*,*
訪問,名詞,サ変接続,*,*,訪問,*,*
爆弾,名詞,一般,*,*,爆弾,*,*
記録,名詞,サ変接続,*,*,記録,*,*
全文,名詞,一般,*,*,全文,*,*
入手,名詞,サ変接続,*,*,入手,*,*
dot,名詞,固有名詞,組織,*,dot,*,*
.〉(,名詞,サ変接続,*,*,.〉(,*,*
aera,名詞,固有名詞,組織,*,aera,*,*
dot,名詞,固有名詞,組織,*,dot,*,*
.),名詞,サ変接続,*,*,.),*,*
-,名詞,サ変接続,*,*,-,*,*
yahoo,名詞,固有名詞,組織,*,yahoo,*,*
!,名詞,サ変接続,*,*,!,*,*
ニュース,名詞,一般,*,*,ニュース,*,*
