松井,名詞,固有名詞,人名,姓,松井,*,*
代表,名詞,サ変接続,*,*,代表,*,*
日程,名詞,一般,*,*,日程,*,*
の,助詞,連体化,*,*,の,*,*
お知らせ,名詞,サ変接続,*,*,お知らせ,*,*
6,名詞,数,*,*,6,*,*
月,名詞,一般,*,*,月,*,*
26,名詞,数,*,*,26,*,*
日,名詞,接尾,助数詞,*,日,*,*
(,名詞,サ変接続,*,*,(,*,*
日,名詞,接尾,一般,*,日,*,*
),名詞,サ変接続,*,*,),*,*
1,名詞,数,*,*,1,*,*
10,名詞,数,*,*,10,*,*
:,名詞,サ変接続,*,*,:,*,*
00,名詞,数,*,*,00,*,*
~,名詞,サ変接続,*,*,~,*,*
築地,名詞,一般,*,*,築地,*,*
交差点,名詞,一般,*,*,交差点,*,*
2,名詞,数,*,*,2,*,*
11,名詞,数,*,*,11,*,*
:,名詞,サ変接続,*,*,:,*,*
30,名詞,数,*,*,30,*,*
~,名詞,サ変接続,*,*,~,*,*
銀座,名詞,固有名詞,地域,一般,銀座,*,*
wako,名詞,固有名詞,組織,*,wako,*,*
前,接頭詞,名詞接続,*,*,前,*,*
(,名詞,サ変接続,*,*,(,*,*
中継,名詞,サ変接続,*,*,中継,*,*
なし,形容詞,自立,*,*,ない,形容詞・アウオ段,文語基本形
),名詞,サ変接続,*,*,),*,*
3,名詞,数,*,*,3,*,*
13,名詞,数,*,*,13,*,*
:,名詞,サ変接続,*,*,:,*,*
30,名詞,数,*,*,30,*,*
~,名詞,サ変接続,*,*,~,*,*
秋葉原,名詞,固有名詞,地域,一般,秋葉原,*,*
akb,名詞,固有名詞,組織,*,akb,*,*
カフェ,名詞,一般,*,*,カフェ,*,*
前,名詞,副詞可能,*,*,前,*,*
4,名詞,数,*,*,4,*,*
16,名詞,数,*,*,16,*,*
:,名詞,サ変接続,*,*,:,*,*
30,名詞,数,*,*,30,*,*
~,名詞,サ変接続,*,*,~,*,*
名古屋,名詞,固有名詞,地域,一般,名古屋,*,*
駅,名詞,接尾,地域,*,駅,*,*
桜通り,名詞,固有名詞,地域,一般,桜通り,*,*
口,名詞,接尾,一般,*,口,*,*
(,名詞,サ変接続,*,*,(,*,*
中継,名詞,サ変接続,*,*,中継,*,*
なし,形容詞,自立,*,*,ない,形容詞・アウオ段,文語基本形
),名詞,サ変接続,*,*,),*,*
5,名詞,数,*,*,5,*,*
18,名詞,数,*,*,18,*,*
:,名詞,サ変接続,*,*,:,*,*
30,名詞,数,*,*,30,*,*
~,名詞,サ変接続,*,*,~,*,*
東,名詞,一般,*,*,東,*,*
岡崎,名詞,固有名詞,地域,一般,岡崎,*,*
駅,名詞,接尾,地域,*,駅,*,*
北口,名詞,固有名詞,地域,一般,北口,*,*
