始まり,動詞,自立,*,*,始まる,五段・ラ行,連用形
まし,助動詞,*,*,*,ます,特殊・マス,連用形
た,助動詞,*,*,*,た,特殊・タ,基本形
!,名詞,サ変接続,*,*,!,*,*
おおさか,名詞,固有名詞,地域,一般,おおさか,*,*
維新,名詞,一般,*,*,維新,*,*
の,助詞,連体化,*,*,の,*,*
会,名詞,一般,*,*,会,*,*
ニコ,名詞,一般,*,*,ニコ,*,*
生,名詞,接尾,一般,*,生,*,*
企画,名詞,サ変接続,*,*,企画,*,*
日本,名詞,固有名詞,地域,国,日本,*,*
初,接頭詞,名詞接続,*,*,初,*,*
!?,名詞,サ変接続,*,*,!?,*,*
維新,名詞,一般,*,*,維新,*,*
参院,名詞,固有名詞,組織,*,参院,*,*
選,名詞,接尾,一般,*,選,*,*
トーク,名詞,一般,*,*,トーク,*,*
学生,名詞,一般,*,*,学生,*,*
観覧,名詞,サ変接続,*,*,観覧,*,*
スペシャル,名詞,一般,*,*,スペシャル,*,*
!』,名詞,サ変接続,*,*,!』,*,*
絶対,名詞,副詞可能,*,*,絶対,*,*
ご覧,名詞,動詞非自立的,*,*,ご覧,*,*
下さい,動詞,非自立,*,*,下さる,五段・ラ行特殊,命令ｉ
ね,助詞,終助詞,*,*,ね,*,*
!!,名詞,サ変接続,*,*,!!,*,*
