永,名詞,固有名詞,人名,姓,永,*,*
藤,名詞,一般,*,*,藤,*,*
ひ,動詞,自立,*,*,ひる,一段,連用形
でき,動詞,自立,*,*,できる,一段,連用形
41,名詞,数,*,*,41,*,*
歳,名詞,接尾,助数詞,*,歳,*,*
若い,形容詞,自立,*,*,若い,形容詞・アウオ段,基本形
感覚,名詞,一般,*,*,感覚,*,*
や,助詞,並立助詞,*,*,や,*,*
パワー,名詞,一般,*,*,パワー,*,*
が,助詞,格助詞,一般,*,が,*,*
ある,動詞,自立,*,*,ある,五段・ラ行,基本形
から,助詞,接続助詞,*,*,から,*,*
こそ,助詞,係助詞,*,*,こそ,*,*
できる,動詞,自立,*,*,できる,一段,基本形
堺,名詞,固有名詞,地域,一般,堺,*,*
の,助詞,連体化,*,*,の,*,*
ため,名詞,非自立,副詞可能,*,ため,*,*
の,助詞,連体化,*,*,の,*,*
改革,名詞,サ変接続,*,*,改革,*,*
が,助詞,格助詞,一般,*,が,*,*
ある,動詞,自立,*,*,ある,五段・ラ行,基本形
と,助詞,格助詞,引用,*,と,*,*
思い,動詞,自立,*,*,思う,五段・ワ行促音便,連用形
ます,助動詞,*,*,*,ます,特殊・マス,基本形
!,名詞,サ変接続,*,*,!,*,*
