大阪,名詞,固有名詞,地域,一般,大阪,*,*
北部,名詞,一般,*,*,北部,*,*
地震,名詞,一般,*,*,地震,*,*
の,助詞,連体化,*,*,の,*,*
発生,名詞,サ変接続,*,*,発生,*,*
から,助詞,格助詞,一般,*,から,*,*
きのう,名詞,副詞可能,*,*,きのう,*,*
25,名詞,数,*,*,25,*,*
日,名詞,接尾,助数詞,*,日,*,*
で,助詞,格助詞,一般,*,で,*,*
1,名詞,数,*,*,1,*,*
週間,名詞,接尾,助数詞,*,週間,*,*
が,助詞,格助詞,一般,*,が,*,*
たっ,動詞,自立,*,*,たつ,五段・タ行,連用タ接続
た,助動詞,*,*,*,た,特殊・タ,基本形
総務,名詞,一般,*,*,総務,*,*
省,名詞,接尾,一般,*,省,*,*
消防庁,名詞,固有名詞,組織,*,消防庁,*,*
に,助詞,格助詞,一般,*,に,*,*
よれ,動詞,自立,*,*,よる,五段・ラ行,仮定形
ば,助詞,接続助詞,*,*,ば,*,*
同日,名詞,副詞可能,*,*,同日,*,*
午後,名詞,副詞可能,*,*,午後,*,*
6,名詞,数,*,*,6,*,*
時,名詞,接尾,助数詞,*,時,*,*
現在,名詞,副詞可能,*,*,現在,*,*
5,名詞,数,*,*,5,*,*
人,名詞,接尾,助数詞,*,人,*,*
が,助詞,格助詞,一般,*,が,*,*
死亡,名詞,サ変接続,*,*,死亡,*,*
し,動詞,自立,*,*,する,サ変・スル,連用形
421,名詞,数,*,*,421,*,*
人,名詞,接尾,助数詞,*,人,*,*
が,助詞,格助詞,一般,*,が,*,*
負傷,名詞,サ変接続,*,*,負傷,*,*
住宅,名詞,一般,*,*,住宅,*,*
被害,名詞,一般,*,*,被害,*,*
は,助詞,係助詞,*,*,は,*,*
8089,名詞,数,*,*,8089,*,*
棟,名詞,接尾,助数詞,*,棟,*,*
に,助詞,格助詞,一般,*,に,*,*
上り,動詞,自立,*,*,上る,五段・ラ行,連用形
268,名詞,数,*,*,268,*,*
人,名詞,接尾,助数詞,*,人,*,*
が,助詞,格助詞,一般,*,が,*,*
避難,名詞,サ変接続,*,*,避難,*,*
し,動詞,自立,*,*,する,サ変・スル,連用形
て,助詞,接続助詞,*,*,て,*,*
いる,動詞,非自立,*,*,いる,一段,基本形
一方,接続詞,*,*,*,一方,*,*
被害,名詞,一般,*,*,被害,*,*
の,助詞,連体化,*,*,の,*,*
全容,名詞,一般,*,*,全容,*,*
が,助詞,格助詞,一般,*,が,*,*
明らか,名詞,形容動詞語幹,*,*,明らか,*,*
に,助詞,格助詞,一般,*,に,*,*
なる,動詞,自立,*,*,なる,五段・ラ行,基本形
につれ,助詞,格助詞,連語,*,につれ,*,*
...,名詞,サ変接続,*,*,...,*,*
