広島,名詞,固有名詞,地域,一般,広島,*,*
県,名詞,接尾,地域,*,県,*,*
は,助詞,係助詞,*,*,は,*,*
経済,名詞,一般,*,*,経済,*,*
的,名詞,接尾,形容動詞語幹,*,的,*,*
に,助詞,副詞化,*,*,に,*,*
厳しい,形容詞,自立,*,*,厳しい,形容詞・イ段,基本形
状況,名詞,一般,*,*,状況,*,*
に,助詞,格助詞,一般,*,に,*,*
ある,動詞,自立,*,*,ある,五段・ラ行,基本形
子ども,名詞,一般,*,*,子ども,*,*
の,助詞,連体化,*,*,の,*,*
大学,名詞,一般,*,*,大学,*,*
進学,名詞,サ変接続,*,*,進学,*,*
を,助詞,格助詞,一般,*,を,*,*
支援,名詞,サ変接続,*,*,支援,*,*
しよ,動詞,自立,*,*,する,サ変・スル,未然ウ接続
う,助動詞,*,*,*,う,不変化型,基本形
と,助詞,接続助詞,*,*,と,*,*
入学,名詞,サ変接続,*,*,入学,*,*
金,名詞,接尾,一般,*,金,*,*
や,助詞,並立助詞,*,*,や,*,*
授業,名詞,サ変接続,*,*,授業,*,*
料,名詞,接尾,一般,*,料,*,*
など,助詞,副助詞,*,*,など,*,*
最大,名詞,一般,*,*,最大,*,*
60,名詞,数,*,*,60,*,*
万,名詞,数,*,*,万,*,*
円,名詞,接尾,助数詞,*,円,*,*
を,助詞,格助詞,一般,*,を,*,*
初年度,名詞,一般,*,*,初年度,*,*
に,助詞,格助詞,一般,*,に,*,*
給付,名詞,サ変接続,*,*,給付,*,*
する,動詞,自立,*,*,する,サ変・スル,基本形
返還,名詞,サ変接続,*,*,返還,*,*
不要,名詞,形容動詞語幹,*,*,不要,*,*
の,助詞,連体化,*,*,の,*,*
給付,名詞,サ変接続,*,*,給付,*,*
型,名詞,接尾,一般,*,型,*,*
奨学,名詞,一般,*,*,奨学,*,*
金,名詞,接尾,一般,*,金,*,*
を,助詞,格助詞,一般,*,を,*,*
創設,名詞,サ変接続,*,*,創設,*,*
し,動詞,自立,*,*,する,サ変・スル,連用形
た,助動詞,*,*,*,た,特殊・タ,基本形
