熊本,名詞,固有名詞,地域,一般,熊本,*,*
の,助詞,連体化,*,*,の,*,*
日常,名詞,一般,*,*,日常,*,*
取り戻す,動詞,自立,*,*,取り戻す,五段・サ行,基本形
熊本地震,名詞,複合,*,*,熊本地震,*,*
復興加速化本部,名詞,複合,*,*,復興加速化本部,*,*
と,助詞,格助詞,一般,*,と,*,*
復興,名詞,サ変接続,*,*,復興,*,*
防災部会,名詞,複合,*,*,防災部会,*,*
は,助詞,係助詞,*,*,は,*,*
7日,名詞,複合,*,*,7日,*,*
蒲島郁夫熊本県知事,名詞,複合,*,*,蒲島郁夫熊本県知事,*,*
と,助詞,並立助詞,*,*,と,*,*
岩下栄一県議会議長,名詞,複合,*,*,岩下栄一県議会議長,*,*
と,助詞,格助詞,一般,*,と,*,*
会い,動詞,自立,*,*,会う,五段・ワ行促音便,連用形
熊本地震,名詞,複合,*,*,熊本地震,*,*
の,助詞,連体化,*,*,の,*,*
復旧,名詞,サ変接続,*,*,復旧,*,*
復興,名詞,サ変接続,*,*,復興,*,*
について,助詞,格助詞,連語,*,について,*,*
要望,名詞,サ変接続,*,*,要望,*,*
を,助詞,格助詞,一般,*,を,*,*
受け,動詞,自立,*,*,受ける,一段,連用形
まし,助動詞,*,*,*,ます,特殊・マス,連用形
た,助動詞,*,*,*,た,特殊・タ,基本形
復興,名詞,サ変接続,*,*,復興,*,*
に,助詞,格助詞,一般,*,に,*,*
向け,動詞,自立,*,*,向ける,一段,連用形
て,助詞,接続助詞,*,*,て,*,*
手,名詞,一般,*,*,手,*,*
を,助詞,格助詞,一般,*,を,*,*
繋ご,動詞,自立,*,*,繋ぐ,五段・ガ行,未然ウ接続
う,助動詞,*,*,*,う,不変化型,基本形
復興,名詞,サ変接続,*,*,復興,*,*
