若,接頭詞,名詞接続,*,*,若,*,*
ナビ,名詞,一般,*,*,ナビ,*,*
が,助詞,格助詞,一般,*,が,*,*
好評,名詞,一般,*,*,好評,*,*
若者,名詞,一般,*,*,若者,*,*
の,助詞,連体化,*,*,の,*,*
悩み,名詞,一般,*,*,悩み,*,*
を,助詞,格助詞,一般,*,を,*,*
気軽,名詞,形容動詞語幹,*,*,気軽,*,*
に,助詞,副詞化,*,*,に,*,*
相談,名詞,サ変接続,*,*,相談,*,*
できる,動詞,自立,*,*,できる,一段,基本形
若者,名詞,一般,*,*,若者,*,*
総合,名詞,サ変接続,*,*,総合,*,*
相談,名詞,サ変接続,*,*,相談,*,*
電話,名詞,サ変接続,*,*,電話,*,*
03,名詞,数,*,*,03,*,*
-,名詞,サ変接続,*,*,-,*,*
3267,名詞,数,*,*,3267,*,*
-,名詞,サ変接続,*,*,-,*,*
0808,名詞,数,*,*,0808,*,*
hp,名詞,一般,*,*,hp,*,*
で,助詞,格助詞,一般,*,で,*,*
は,助詞,係助詞,*,*,は,*,*
メール,名詞,サ変接続,*,*,メール,*,*
で,助詞,格助詞,一般,*,で,*,*
相談,名詞,サ変接続,*,*,相談,*,*
も,助詞,係助詞,*,*,も,*,*
://,名詞,サ変接続,*,*,://,*,*
t,名詞,一般,*,*,t,*,*
.,名詞,サ変接続,*,*,.,*,*
co,名詞,一般,*,*,co,*,*
/,名詞,サ変接続,*,*,/,*,*
3,名詞,数,*,*,3,*,*
uhosu,名詞,一般,*,*,uhosu,*,*
8,名詞,数,*,*,8,*,*
g,名詞,一般,*,*,g,*,*
3,名詞,数,*,*,3,*,*
w,名詞,一般,*,*,w,*,*
仕事,名詞,サ変接続,*,*,仕事,*,*
...,名詞,サ変接続,*,*,...,*,*
