うすい,形容詞,自立,*,*,うすい,形容詞・アウオ段,基本形
浩一,名詞,固有名詞,人名,名,浩一,*,*
足立,名詞,固有名詞,地域,一般,足立,*,*
区,名詞,接尾,地域,*,区,*,*
育ち,名詞,一般,*,*,育ち,*,*
学生,名詞,一般,*,*,学生,*,*
時代,名詞,一般,*,*,時代,*,*
は,助詞,係助詞,*,*,は,*,*
働き,動詞,自立,*,*,働く,五段・カ行イ音便,連用形
ながら,助詞,接続助詞,*,*,ながら,*,*
夜間,名詞,一般,*,*,夜間,*,*
大学,名詞,一般,*,*,大学,*,*
に,助詞,格助詞,一般,*,に,*,*
通い,動詞,自立,*,*,通う,五段・ワ行促音便,連用形
勉学,名詞,サ変接続,*,*,勉学,*,*
に,助詞,格助詞,一般,*,に,*,*
励ん,動詞,自立,*,*,励む,五段・マ行,連用タ接続
だ,助動詞,*,*,*,だ,特殊・タ,基本形
誠実,名詞,形容動詞語幹,*,*,誠実,*,*
な,助動詞,*,*,*,だ,特殊・ダ,体言接続
人柄,名詞,一般,*,*,人柄,*,*
と,助詞,並立助詞,*,*,と,*,*
持ち前,名詞,一般,*,*,持ち前,*,*
の,助詞,連体化,*,*,の,*,*
バイタリティー,名詞,一般,*,*,バイタリティー,*,*
で,助詞,格助詞,一般,*,で,*,*
郵便,名詞,一般,*,*,郵便,*,*
局,名詞,接尾,一般,*,局,*,*
保険,名詞,一般,*,*,保険,*,*
の,助詞,連体化,*,*,の,*,*
トップ,名詞,一般,*,*,トップ,*,*
営業,名詞,サ変接続,*,*,営業,*,*
マン,名詞,接尾,一般,*,マン,*,*
として,助詞,格助詞,連語,*,として,*,*
活躍,名詞,サ変接続,*,*,活躍,*,*
実直,名詞,形容動詞語幹,*,*,実直,*,*
な,助動詞,*,*,*,だ,特殊・ダ,体言接続
父,名詞,一般,*,*,父,*,*
から,助詞,格助詞,一般,*,から,*,*
教わっ,動詞,自立,*,*,教わる,五段・ラ行,連用タ接続
た,助動詞,*,*,*,た,特殊・タ,基本形
人,名詞,一般,*,*,人,*,*
の,助詞,格助詞,一般,*,の,*,*
役に立つ,動詞,自立,*,*,役に立つ,五段・タ行,基本形
人間,名詞,一般,*,*,人間,*,*
に,助詞,格助詞,一般,*,に,*,*
と,助詞,格助詞,引用,*,と,*,*
の,助詞,連体化,*,*,の,*,*
姿勢,名詞,一般,*,*,姿勢,*,*
が,助詞,格助詞,一般,*,が,*,*
政治,名詞,一般,*,*,政治,*,*
を,助詞,格助詞,一般,*,を,*,*
志す,動詞,自立,*,*,志す,五段・サ行,基本形
原点,名詞,一般,*,*,原点,*,*
に,助詞,格助詞,一般,*,に,*,*
父,名詞,一般,*,*,父,*,*
の,助詞,連体化,*,*,の,*,*
日,名詞,非自立,副詞可能,*,日,*,*
