こい,形容詞,自立,*,*,こい,形容詞・アウオ段,基本形
そ,名詞,特殊,助動詞語幹,*,そ,*,*
善彦,名詞,固有名詞,人名,名,善彦,*,*
町田,名詞,固有名詞,地域,一般,町田,*,*
市,名詞,接尾,地域,*,市,*,*
の,助詞,連体化,*,*,の,*,*
警察官,名詞,一般,*,*,警察官,*,*
は,助詞,係助詞,*,*,は,*,*
都,名詞,一般,*,*,都,*,*
の,助詞,連体化,*,*,の,*,*
平均,名詞,サ変接続,*,*,平均,*,*
の,助詞,連体化,*,*,の,*,*
2,名詞,数,*,*,2,*,*
倍,名詞,接尾,助数詞,*,倍,*,*
の,助詞,連体化,*,*,の,*,*
皆様,名詞,一般,*,*,皆様,*,*
の,助詞,連体化,*,*,の,*,*
対応,名詞,サ変接続,*,*,対応,*,*
を,助詞,格助詞,一般,*,を,*,*
し,動詞,自立,*,*,する,サ変・スル,連用形
て,助詞,接続助詞,*,*,て,*,*
い,動詞,非自立,*,*,いる,一段,連用形
まし,助動詞,*,*,*,ます,特殊・マス,連用形
た,助動詞,*,*,*,た,特殊・タ,基本形
10,名詞,数,*,*,10,*,*
万,名詞,数,*,*,万,*,*
人,名詞,接尾,助数詞,*,人,*,*
の,助詞,連体化,*,*,の,*,*
署名,名詞,サ変接続,*,*,署名,*,*
の,助詞,連体化,*,*,の,*,*
後押し,名詞,サ変接続,*,*,後押し,*,*
で,助詞,格助詞,一般,*,で,*,*
大型,名詞,一般,*,*,大型,*,*
交番,名詞,一般,*,*,交番,*,*
を,助詞,格助詞,一般,*,を,*,*
設置,名詞,サ変接続,*,*,設置,*,*
警察官,名詞,一般,*,*,警察官,*,*
が,助詞,格助詞,一般,*,が,*,*
増え,動詞,自立,*,*,増える,一段,連用形
スーパー,名詞,一般,*,*,スーパー,*,*
防犯,名詞,一般,*,*,防犯,*,*
灯,名詞,接尾,一般,*,灯,*,*
が,助詞,格助詞,一般,*,が,*,*
設置,名詞,サ変接続,*,*,設置,*,*
さ,動詞,自立,*,*,する,サ変・スル,未然レル接続
れ,動詞,接尾,*,*,れる,一段,連用形
犯罪,名詞,一般,*,*,犯罪,*,*
が,接続詞,*,*,*,が,*,*
約,接頭詞,数接続,*,*,約,*,*
1,名詞,数,*,*,1,*,*
万,名詞,数,*,*,万,*,*
件,名詞,接尾,助数詞,*,件,*,*
から,助詞,格助詞,一般,*,から,*,*
3000,名詞,数,*,*,3000,*,*
件,名詞,接尾,助数詞,*,件,*,*
に,助詞,格助詞,一般,*,に,*,*
まで,助詞,副助詞,*,*,まで,*,*
減り,動詞,自立,*,*,減る,五段・ラ行,連用形
まし,助動詞,*,*,*,ます,特殊・マス,連用形
た,助動詞,*,*,*,た,特殊・タ,基本形
東京,名詞,固有名詞,地域,一般,東京,*,*
町田,名詞,固有名詞,地域,一般,町田,*,*
市,名詞,接尾,地域,*,市,*,*
東京,名詞,固有名詞,地域,一般,東京,*,*
都議,名詞,一般,*,*,都議,*,*
選,名詞,接尾,一般,*,選,*,*
