遠藤,名詞,固有名詞,人名,姓,遠藤,*,*
守,名詞,一般,*,*,守,*,*
小児,名詞,一般,*,*,小児,*,*
がん,名詞,一般,*,*,がん,*,*
を,助詞,格助詞,一般,*,を,*,*
専門,名詞,一般,*,*,専門,*,*
と,助詞,格助詞,一般,*,と,*,*
し,動詞,自立,*,*,する,サ変・スル,未然形
ない,助動詞,*,*,*,ない,特殊・ナイ,基本形
小児科,名詞,一般,*,*,小児科,*,*
医,名詞,接尾,一般,*,医,*,*
で,助詞,格助詞,一般,*,で,*,*
も,助詞,係助詞,*,*,も,*,*
早期,名詞,一般,*,*,早期,*,*
に,助詞,格助詞,一般,*,に,*,*
発見,名詞,サ変接続,*,*,発見,*,*
できる,動詞,自立,*,*,できる,一段,基本形
小児,名詞,一般,*,*,小児,*,*
がん,名詞,一般,*,*,がん,*,*
診断,名詞,サ変接続,*,*,診断,*,*
ハンドブック,名詞,一般,*,*,ハンドブック,*,*
が,助詞,格助詞,一般,*,が,*,*
喜ば,動詞,自立,*,*,喜ぶ,五段・バ行,未然形
れ,動詞,接尾,*,*,れる,一段,連用形
て,助詞,接続助詞,*,*,て,*,*
い,動詞,非自立,*,*,いる,一段,連用形
ます,助動詞,*,*,*,ます,特殊・マス,基本形
一,名詞,数,*,*,一,*,*
人,名詞,接尾,助数詞,*,人,*,*
の,助詞,連体化,*,*,の,*,*
お母さん,名詞,一般,*,*,お母さん,*,*
の,助詞,連体化,*,*,の,*,*
声,名詞,一般,*,*,声,*,*
から,助詞,格助詞,一般,*,から,*,*
でき,動詞,自立,*,*,できる,一段,連用形
た,助動詞,*,*,*,た,特殊・タ,基本形
この,連体詞,*,*,*,この,*,*
ハンドブック,名詞,一般,*,*,ハンドブック,*,*
が,助詞,格助詞,一般,*,が,*,*
全国,名詞,一般,*,*,全国,*,*
に,助詞,格助詞,一般,*,に,*,*
広がろ,動詞,自立,*,*,広がる,五段・ラ行,未然ウ接続
う,助動詞,*,*,*,う,不変化型,基本形
と,助詞,格助詞,引用,*,と,*,*
し,動詞,自立,*,*,する,サ変・スル,連用形
て,助詞,接続助詞,*,*,て,*,*
い,動詞,非自立,*,*,いる,一段,連用形
ます,助動詞,*,*,*,ます,特殊・マス,基本形
東京,名詞,固有名詞,地域,一般,東京,*,*
大田,名詞,固有名詞,地域,一般,大田,*,*
区,名詞,接尾,地域,*,区,*,*
東京,名詞,固有名詞,地域,一般,東京,*,*
都議,名詞,一般,*,*,都議,*,*
選,名詞,接尾,一般,*,選,*,*
