知っ,動詞,自立,*,*,知る,五段・ラ行,連用タ接続
て,助詞,接続助詞,*,*,て,*,*
ほしい,形容詞,非自立,*,*,ほしい,形容詞・イ段,基本形
中島よし,名詞,複合,*,*,中島よし,*,*
お,接頭詞,名詞接続,*,*,お,*,*
幼少期,名詞,複合,*,*,幼少期,*,*
父,名詞,一般,*,*,父,*,*
の,助詞,連体化,*,*,の,*,*
会社,名詞,一般,*,*,会社,*,*
の,助詞,連体化,*,*,の,*,*
倒産,名詞,サ変接続,*,*,倒産,*,*
で,助詞,格助詞,一般,*,で,*,*
借金取り,名詞,一般,*,*,借金取り,*,*
に,助詞,格助詞,一般,*,に,*,*
追わ,動詞,自立,*,*,追う,五段・ワ行促音便,未然形
れる,動詞,接尾,*,*,れる,一段,基本形
日々アルバイト,名詞,複合,*,*,日々アルバイト,*,*
で,助詞,格助詞,一般,*,で,*,*
学費,名詞,一般,*,*,学費,*,*
と,助詞,格助詞,一般,*,と,*,*
生活費,名詞,複合,*,*,生活費,*,*
を,助詞,格助詞,一般,*,を,*,*
ねん出,名詞,サ変接続,*,*,ねん出,*,*
し,動詞,自立,*,*,する,サ変・スル,連用形
て,助詞,接続助詞,*,*,て,*,*
大学,名詞,一般,*,*,大学,*,*
に,助詞,格助詞,一般,*,に,*,*
庶民,名詞,一般,*,*,庶民,*,*
の,助詞,連体化,*,*,の,*,*
心,名詞,一般,*,*,心,*,*
に,助詞,格助詞,一般,*,に,*,*
寄り添い,動詞,自立,*,*,寄り添う,五段・ワ行促音便,連用形
子ども医療費,名詞,複合,*,*,子ども医療費,*,*
の,助詞,連体化,*,*,の,*,*
助成拡充,名詞,複合,*,*,助成拡充,*,*
や,助詞,並立助詞,*,*,や,*,*
高校教育費,名詞,複合,*,*,高校教育費,*,*
の,助詞,連体化,*,*,の,*,*
負担軽減,名詞,複合,*,*,負担軽減,*,*
など,助詞,副助詞,*,*,など,*,*
に,助詞,格助詞,一般,*,に,*,*
全力,名詞,一般,*,*,全力,*,*
