なぜ,副詞,助詞類接続,*,*,なぜ,*,*
戦車,名詞,一般,*,*,戦車,*,*
を,助詞,格助詞,一般,*,を,*,*
つくる,動詞,自立,*,*,つくる,五段・ラ行,基本形
こと,名詞,非自立,一般,*,こと,*,*
は,助詞,係助詞,*,*,は,*,*
簡単,名詞,形容動詞語幹,*,*,簡単,*,*
な,助動詞,*,*,*,だ,特殊・ダ,体言接続
のに,助詞,接続助詞,*,*,のに,*,*
学校,名詞,一般,*,*,学校,*,*
を,助詞,格助詞,一般,*,を,*,*
建てる,動詞,自立,*,*,建てる,一段,基本形
こと,名詞,非自立,一般,*,こと,*,*
は,助詞,係助詞,*,*,は,*,*
難しい,形容詞,自立,*,*,難しい,形容詞・イ段,基本形
の,名詞,非自立,一般,*,の,*,*
でしょ,助動詞,*,*,*,です,特殊・デス,未然形
う,助動詞,*,*,*,う,不変化型,基本形
か,助詞,副助詞／並立助詞／終助詞,*,*,か,*,*
2014,名詞,数,*,*,2014,*,*
年,名詞,接尾,助数詞,*,年,*,*
に,助詞,格助詞,一般,*,に,*,*
史上,名詞,一般,*,*,史上,*,*
最年少,名詞,一般,*,*,最年少,*,*
で,助詞,格助詞,一般,*,で,*,*
ノーベル,名詞,固有名詞,人名,一般,ノーベル,*,*
平和,名詞,形容動詞語幹,*,*,平和,*,*
賞,名詞,接尾,一般,*,賞,*,*
を,助詞,格助詞,一般,*,を,*,*
受賞,名詞,サ変接続,*,*,受賞,*,*
し,動詞,自立,*,*,する,サ変・スル,連用形
た,助動詞,*,*,*,た,特殊・タ,基本形
マララ・ユスフザイ,名詞,一般,*,*,マララ・ユスフザイ,*,*
さん,名詞,接尾,人名,*,さん,*,*
国連,名詞,固有名詞,組織,*,国連,*,*
は,助詞,係助詞,*,*,は,*,*
マララ,名詞,固有名詞,一般,*,マララ,*,*
さん,名詞,接尾,人名,*,さん,*,*
の,助詞,連体化,*,*,の,*,*
誕生,名詞,サ変接続,*,*,誕生,*,*
日,名詞,接尾,一般,*,日,*,*
で,助動詞,*,*,*,だ,特殊・ダ,連用形
ある,助動詞,*,*,*,ある,五段・ラ行アル,基本形
7,名詞,数,*,*,7,*,*
月,名詞,一般,*,*,月,*,*
12,名詞,数,*,*,12,*,*
日,名詞,接尾,助数詞,*,日,*,*
を,助詞,格助詞,一般,*,を,*,*
マララ・デー,名詞,固有名詞,一般,*,マララ・デー,*,*
と,助詞,格助詞,引用,*,と,*,*
決め,動詞,自立,*,*,決める,一段,連用形
た,助動詞,*,*,*,た,特殊・タ,基本形
コラム,名詞,一般,*,*,コラム,*,*
北斗,名詞,一般,*,*,北斗,*,*
七,名詞,数,*,*,七,*,*
...,名詞,サ変接続,*,*,...,*,*
