徳島,名詞,固有名詞,地域,一般,徳島,*,*
市,名詞,接尾,地域,*,市,*,*
は,助詞,係助詞,*,*,は,*,*
重度,名詞,一般,*,*,重度,*,*
の,助詞,連体化,*,*,の,*,*
身体,名詞,一般,*,*,身体,*,*
障,動詞,自立,*,*,障る,五段・ラ行,体言接続特殊２
が,助詞,格助詞,一般,*,が,*,*
い,動詞,自立,*,*,いる,一段,連用形
者,名詞,接尾,一般,*,者,*,*
を,助詞,格助詞,一般,*,を,*,*
対象,名詞,一般,*,*,対象,*,*
に,助詞,格助詞,一般,*,に,*,*
介護,名詞,サ変接続,*,*,介護,*,*
職員,名詞,一般,*,*,職員,*,*
ら,名詞,接尾,一般,*,ら,*,*
が,助詞,格助詞,一般,*,が,*,*
訪問,名詞,サ変接続,*,*,訪問,*,*
し,動詞,自立,*,*,する,サ変・スル,連用形
て,助詞,接続助詞,*,*,て,*,*
入浴,名詞,サ変接続,*,*,入浴,*,*
を,助詞,格助詞,一般,*,を,*,*
支援,名詞,サ変接続,*,*,支援,*,*
する,動詞,自立,*,*,する,サ変・スル,基本形
サービス,名詞,サ変接続,*,*,サービス,*,*
の,助詞,連体化,*,*,の,*,*
費用,名詞,一般,*,*,費用,*,*
を,助詞,格助詞,一般,*,を,*,*
独自,名詞,形容動詞語幹,*,*,独自,*,*
に,助詞,副詞化,*,*,に,*,*
助成,名詞,サ変接続,*,*,助成,*,*
し,動詞,自立,*,*,する,サ変・スル,連用形
て,助詞,接続助詞,*,*,て,*,*
い,動詞,非自立,*,*,いる,一段,連用形
ます,助動詞,*,*,*,ます,特殊・マス,基本形
ある,連体詞,*,*,*,ある,*,*
利用,名詞,サ変接続,*,*,利用,*,*
者,名詞,接尾,一般,*,者,*,*
の,助詞,連体化,*,*,の,*,*
母親,名詞,一般,*,*,母親,*,*
は,助詞,係助詞,*,*,は,*,*
息子,名詞,一般,*,*,息子,*,*
が,助詞,格助詞,一般,*,が,*,*
気兼ね,名詞,サ変接続,*,*,気兼ね,*,*
なく,形容詞,自立,*,*,ない,形容詞・アウオ段,連用テ接続
お,接頭詞,名詞接続,*,*,お,*,*
風呂,名詞,一般,*,*,風呂,*,*
に,助詞,格助詞,一般,*,に,*,*
入る,動詞,自立,*,*,入る,五段・ラ行,基本形
こと,名詞,非自立,一般,*,こと,*,*
が,助詞,格助詞,一般,*,が,*,*
できる,動詞,自立,*,*,できる,一段,基本形
よう,名詞,非自立,助動詞語幹,*,よう,*,*
に,助詞,格助詞,一般,*,に,*,*
なっ,動詞,自立,*,*,なる,五段・ラ行,連用タ接続
た,助動詞,*,*,*,た,特殊・タ,基本形
ので,助詞,接続助詞,*,*,ので,*,*
本当に,副詞,一般,*,*,本当に,*,*
感謝,名詞,サ変接続,*,*,感謝,*,*
し,動詞,自立,*,*,する,サ変・スル,連用形
て,助詞,接続助詞,*,*,て,*,*
いる,動詞,非自立,*,*,いる,一段,基本形
と,助詞,格助詞,引用,*,と,*,*
今日,名詞,副詞可能,*,*,今日,*,*
は,助詞,係助詞,*,*,は,*,*
風呂,名詞,一般,*,*,風呂,*,*
の,助詞,連体化,*,*,の,*,*
日,名詞,非自立,副詞可能,*,日,*,*
