nhk,名詞,固有名詞,組織,*,nhk,*,*
そなえる,動詞,自立,*,*,そなえる,一段,基本形
防災,名詞,サ変接続,*,*,防災,*,*
に,助詞,格助詞,一般,*,に,*,*
は,助詞,係助詞,*,*,は,*,*
自分,名詞,一般,*,*,自分,*,*
で,助詞,格助詞,一般,*,で,*,*
作る,動詞,自立,*,*,作る,五段・ラ行,基本形
非常持ち出し袋,名詞,複合,*,*,非常持ち出し袋,*,*
が,助詞,格助詞,一般,*,が,*,*
紹介,名詞,サ変接続,*,*,紹介,*,*
さ,動詞,自立,*,*,する,サ変・スル,未然レル接続
れ,動詞,接尾,*,*,れる,一段,連用形
て,助詞,接続助詞,*,*,て,*,*
い,動詞,非自立,*,*,いる,一段,連用形
ます,助動詞,*,*,*,ます,特殊・マス,基本形
夏休み,名詞,一般,*,*,夏休み,*,*
に,助詞,格助詞,一般,*,に,*,*
ご,接頭詞,名詞接続,*,*,ご,*,*
家族,名詞,一般,*,*,家族,*,*
で,助詞,格助詞,一般,*,で,*,*
非常持ち出し袋,名詞,複合,*,*,非常持ち出し袋,*,*
を,助詞,格助詞,一般,*,を,*,*
作ら,動詞,自立,*,*,作る,五段・ラ行,未然形
れ,動詞,接尾,*,*,れる,一段,連用形
て,助詞,接続助詞,*,*,て,*,*
は,助詞,係助詞,*,*,は,*,*
いかが,名詞,形容動詞語幹,*,*,いかが,*,*
でしょ,助動詞,*,*,*,です,特殊・デス,未然形
う,助動詞,*,*,*,う,不変化型,基本形
防災,名詞,サ変接続,*,*,防災,*,*
地震,名詞,一般,*,*,地震,*,*
災害,名詞,一般,*,*,災害,*,*
