少し,副詞,助詞類接続,*,*,少し,*,*
でも,助詞,副助詞,*,*,でも,*,*
心配,名詞,サ変接続,*,*,心配,*,*
な,助動詞,*,*,*,だ,特殊・ダ,体言接続
こと,名詞,非自立,一般,*,こと,*,*
が,助詞,格助詞,一般,*,が,*,*
あっ,動詞,自立,*,*,ある,五段・ラ行,連用タ接続
たら,助動詞,*,*,*,た,特殊・タ,仮定形
気軽,名詞,形容動詞語幹,*,*,気軽,*,*
に,助詞,副詞化,*,*,に,*,*
電話,名詞,サ変接続,*,*,電話,*,*
し,動詞,自立,*,*,する,サ変・スル,連用形
て,助詞,接続助詞,*,*,て,*,*
ね,助詞,終助詞,*,*,ね,*,*
通行人,名詞,一般,*,*,通行人,*,*
が,助詞,格助詞,一般,*,が,*,*
行き交う,動詞,自立,*,*,行き交う,五段・ワ行促音便,基本形
jr日暮里駅前,名詞,複合,*,*,jr日暮里駅前,*,*
で,助詞,格助詞,一般,*,で,*,*
女子高校生,名詞,複合,*,*,女子高校生,*,*
に,助詞,格助詞,一般,*,に,*,*
優しく,形容詞,自立,*,*,優しい,形容詞・イ段,連用テ接続
話しかける,動詞,自立,*,*,話しかける,一段,基本形
女性,名詞,一般,*,*,女性,*,*
が,助詞,格助詞,一般,*,が,*,*
い,動詞,自立,*,*,いる,一段,連用形
た,助動詞,*,*,*,た,特殊・タ,基本形
荒川区,名詞,複合,*,*,荒川区,*,*
が,助詞,格助詞,一般,*,が,*,*
npo法人,名詞,複合,*,*,npo法人,*,*
と,助詞,格助詞,一般,*,と,*,*
共同,名詞,サ変接続,*,*,共同,*,*
で,助詞,格助詞,一般,*,で,*,*
取り組む,動詞,自立,*,*,取り組む,五段・マ行,基本形
若年世代,名詞,複合,*,*,若年世代,*,*
の,助詞,連体化,*,*,の,*,*
自殺予防事業,名詞,複合,*,*,自殺予防事業,*,*
の,助詞,連体化,*,*,の,*,*
一コマ子ども,名詞,複合,*,*,一コマ子ども,*,*
若者,名詞,一般,*,*,若者,*,*
自殺...,名詞,複合,*,*,自殺...,*,*
