新しい,形容詞,自立,*,*,新しい,形容詞・イ段,基本形
コンテンツ,名詞,一般,*,*,コンテンツ,*,*
が,助詞,格助詞,一般,*,が,*,*
でき,動詞,自立,*,*,できる,一段,連用形
まし,助動詞,*,*,*,ます,特殊・マス,連用形
た,助動詞,*,*,*,た,特殊・タ,基本形
みんな,名詞,代名詞,一般,*,みんな,*,*
で,助詞,格助詞,一般,*,で,*,*
挑戦!あなた,名詞,複合,*,*,挑戦!あなた,*,*
の,助詞,連体化,*,*,の,*,*
イクメン検定ココ,名詞,複合,*,*,イクメン検定ココ,*,*
から,助詞,格助詞,一般,*,から,*,*
挑戦⇒,名詞,複合,*,*,挑戦⇒,*,*
問,名詞,一般,*,*,問,*,*
の,助詞,連体化,*,*,の,*,*
子育て,名詞,サ変接続,*,*,子育て,*,*
の,助詞,連体化,*,*,の,*,*
設問,名詞,サ変接続,*,*,設問,*,*
に,助詞,格助詞,一般,*,に,*,*
答える,動詞,自立,*,*,答える,一段,基本形
だけ,助詞,副助詞,*,*,だけ,*,*
ぜひ,副詞,一般,*,*,ぜひ,*,*
あなた,名詞,代名詞,一般,*,あなた,*,*
の,助詞,連体化,*,*,の,*,*
イクメン,名詞,固有名詞,一般,*,イクメン,*,*
度,名詞,接尾,助数詞,*,度,*,*
を,助詞,格助詞,一般,*,を,*,*
検定,名詞,サ変接続,*,*,検定,*,*
し,動詞,自立,*,*,する,サ変・スル,連用形
て,助詞,接続助詞,*,*,て,*,*
み,動詞,非自立,*,*,みる,一段,連用形
て,助詞,接続助詞,*,*,て,*,*
ください,動詞,非自立,*,*,くださる,五段・ラ行特殊,命令ｉ
!,名詞,サ変接続,*,*,!,*,*
