大宮,名詞,固有名詞,地域,一般,大宮,*,*
で,助詞,格助詞,一般,*,で,*,*
の,助詞,連体化,*,*,の,*,*
街頭演説,名詞,複合,*,*,街頭演説,*,*
に,助詞,格助詞,一般,*,に,*,*
沢山,名詞,一般,*,*,沢山,*,*
の,助詞,連体化,*,*,の,*,*
皆さま,名詞,一般,*,*,皆さま,*,*
に,助詞,格助詞,一般,*,に,*,*
お,接頭詞,名詞接続,*,*,お,*,*
集まりいただき,名詞,複合,*,*,集まりいただき,*,*
誠に,副詞,一般,*,*,誠に,*,*
ありがとう,感動詞,*,*,*,ありがとう,*,*
ござい,助動詞,*,*,*,ござる,五段・ラ行特殊,連用形
まし,助動詞,*,*,*,ます,特殊・マス,連用形
た,助動詞,*,*,*,た,特殊・タ,基本形
教育負担,名詞,複合,*,*,教育負担,*,*
の,助詞,連体化,*,*,の,*,*
軽減,名詞,サ変接続,*,*,軽減,*,*
へ,助詞,格助詞,一般,*,へ,*,*
公明党,名詞,固有名詞,組織,*,公明党,*,*
は,助詞,係助詞,*,*,は,*,*
挑戦,名詞,サ変接続,*,*,挑戦,*,*
し,動詞,自立,*,*,する,サ変・スル,連用形
ます,助動詞,*,*,*,ます,特殊・マス,基本形
!,名詞,サ変接続,*,*,!,*,*
この,連体詞,*,*,*,この,*,*
連休,名詞,一般,*,*,連休,*,*
山口代表,名詞,複合,*,*,山口代表,*,*
が,助詞,格助詞,一般,*,が,*,*
出演,名詞,サ変接続,*,*,出演,*,*
する,動詞,自立,*,*,する,サ変・スル,基本形
メディア,名詞,一般,*,*,メディア,*,*
を,助詞,格助詞,一般,*,を,*,*
ご,接頭詞,名詞接続,*,*,ご,*,*
紹介,名詞,サ変接続,*,*,紹介,*,*
し,動詞,自立,*,*,する,サ変・スル,連用形
ます,助動詞,*,*,*,ます,特殊・マス,基本形
ぜひ,副詞,一般,*,*,ぜひ,*,*
ご覧,名詞,動詞非自立的,*,*,ご覧,*,*
く,動詞,非自立,*,*,く,五段・カ行促音便,基本形
...,名詞,サ変接続,*,*,...,*,*
