安倍,名詞,固有名詞,人名,姓,安倍,*,*
首相,名詞,一般,*,*,首相,*,*
発言,名詞,サ変接続,*,*,発言,*,*
録,名詞,接尾,一般,*,録,*,*
東日本,名詞,固有名詞,地域,一般,東日本,*,*
大震災,名詞,一般,*,*,大震災,*,*
の,助詞,連体化,*,*,の,*,*
時,名詞,非自立,副詞可能,*,時,*,*
も,助詞,係助詞,*,*,も,*,*
右往左往,名詞,サ変接続,*,*,右往左往,*,*
し,動詞,自立,*,*,する,サ変・スル,連用形
て,助詞,接続助詞,*,*,て,*,*
打つ手,名詞,一般,*,*,打つ手,*,*
が,助詞,格助詞,一般,*,が,*,*
遅く,形容詞,自立,*,*,遅い,形容詞・アウオ段,連用テ接続
遅い,形容詞,自立,*,*,遅い,形容詞・アウオ段,基本形
鈍い,形容詞,自立,*,*,鈍い,形容詞・アウオ段,基本形
心,名詞,一般,*,*,心,*,*
が,助詞,格助詞,一般,*,が,*,*
ない,形容詞,自立,*,*,ない,形容詞・アウオ段,基本形
と,助詞,格助詞,引用,*,と,*,*
批判,名詞,サ変接続,*,*,批判,*,*
さ,動詞,自立,*,*,する,サ変・スル,未然レル接続
れ,動詞,接尾,*,*,れる,一段,連用形
た,助動詞,*,*,*,た,特殊・タ,基本形
コンビ,名詞,一般,*,*,コンビ,*,*
が,助詞,格助詞,一般,*,が,*,*
立憲,名詞,一般,*,*,立憲,*,*
民主党,名詞,固有名詞,組織,*,民主党,*,*
を,助詞,格助詞,一般,*,を,*,*
率い,動詞,自立,*,*,率いる,一段,連用形
て,助詞,接続助詞,*,*,て,*,*
いる,動詞,非自立,*,*,いる,一段,基本形
そうした,連体詞,*,*,*,そうした,*,*
政党,名詞,一般,*,*,政党,*,*
に,助詞,格助詞,一般,*,に,*,*
期待,名詞,サ変接続,*,*,期待,*,*
できる,動詞,自立,*,*,できる,一段,基本形
はず,名詞,非自立,一般,*,はず,*,*
が,助詞,格助詞,一般,*,が,*,*
ない,形容詞,自立,*,*,ない,形容詞・アウオ段,基本形
(,名詞,サ変接続,*,*,(,*,*
13,名詞,数,*,*,13,*,*
日,名詞,接尾,助数詞,*,日,*,*
鹿児島,名詞,固有名詞,地域,一般,鹿児島,*,*
市,名詞,接尾,地域,*,市,*,*
街頭,名詞,一般,*,*,街頭,*,*
演説,名詞,サ変接続,*,*,演説,*,*
),名詞,サ変接続,*,*,),*,*
復興,名詞,サ変接続,*,*,復興,*,*
に,助詞,格助詞,一般,*,に,*,*
向け,動詞,自立,*,*,向ける,一段,連用形
て,助詞,接続助詞,*,*,て,*,*
手,名詞,一般,*,*,手,*,*
を,助詞,格助詞,一般,*,を,*,*
繋ご,動詞,自立,*,*,繋ぐ,五段・ガ行,未然ウ接続
う,助動詞,*,*,*,う,不変化型,基本形
...,名詞,サ変接続,*,*,...,*,*
